city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.15,swp,0.0,775.84,17.18,0.78,16.13,9.71,6.42,0,60.15,78.58
geneva,0.15,swp,0.0,790.9,17.65,0.79,15.99,10.16,5.83,0,62.14,79.6
geneva,0.15,swp,0.0,797.66,17.53,0.8,15.87,10.1,5.77,0,63.37,79.45
geneva,0.15,swp,0.0,828.62,16.6,0.83,15.55,9.16,6.39,0,82.89,80.46
geneva,0.15,swp,0.0,799.48,18.63,0.8,17.3,11.2,6.1,0,142.57,75.28
geneva,0.15,swp,0.0,787.53,18.74,0.79,17.74,11.26,6.48,0,145.81,74.76
geneva,0.15,swp,0.0,794.11,17.35,0.79,17.24,9.92,7.32,0,128.82,76.9
geneva,0.15,swp,0.0,840.44,16.86,0.84,16.58,9.41,7.17,0,140.7,80.19
geneva,0.15,swp,0.0,793.28,17.33,0.79,16.33,9.84,6.49,0,141.67,80.58
geneva,0.15,swp,2.5,765.55,17.66,0.77,16.23,10.19,6.04,0,133.22,80.97
geneva,0.15,swp,0.0,600.59,21.05,0.6,18.84,13.58,5.26,0,135.49,69.98
geneva,0.15,swp,0.0,584.49,17.71,0.58,18.17,10.26,7.91,0,146.27,70.11
geneva,0.15,swp,0.0,540.8,17.94,0.54,17.44,10.47,6.97,0,147.34,71.88
geneva,0.15,swp,0.0,580.53,16.05,0.58,16.94,8.54,8.4,0,138.98,76.01
geneva,0.15,swp,0.0,616.18,15.83,0.62,15.68,8.38,7.3,0,140.07,77.78
geneva,0.15,swp,0.0,657.65,16.32,0.66,16.52,8.86,7.66,0,137.79,71.48
geneva,0.15,swp,0.0,699.49,16.24,0.7,16.5,8.79,7.71,0,137.24,73.24
geneva,0.15,swp,0.0,687.72,17.62,0.69,16.84,10.18,6.66,0,135.2,73.38
geneva,0.15,swp,0.0,745.44,16.6,0.75,16.43,9.14,7.29,0,137.34,76.71
geneva,0.15,swp,0.0,720.88,18.61,0.72,16.83,11.16,5.67,0,140.73,76.58
geneva,0.15,swp,2.5,726.88,16.9,0.73,16.31,9.46,6.85,0,141.02,78.0
geneva,0.15,swp,0.0,766.95,16.28,0.77,16.48,8.81,7.67,0,135.87,78.61
geneva,0.15,swp,0.0,782.59,16.56,0.78,16.05,9.11,6.94,0,135.17,80.57
