city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.15,wsp,7.5,1703.41,9.23,1.7,11.08,1.81,9.27,0,58.47,113.75
geneva,0.15,wsp,12.5,1881.4,9.22,1.88,10.64,1.84,8.8,0,60.74,119.39
geneva,0.15,wsp,12.5,2054.08,9.29,2.05,10.08,1.87,8.21,0,57.5,125.1
geneva,0.15,wsp,25.0,2221.46,9.41,2.22,9.78,1.97,7.81,0,67.96,130.19
geneva,0.15,wsp,20.0,2389.78,9.64,2.39,9.24,2.13,7.11,0,138.88,136.89
geneva,0.15,wsp,15.0,2558.37,9.11,2.56,8.54,1.64,6.9,0,138.09,143.71
geneva,0.15,wsp,22.5,2722.28,9.54,2.72,8.18,2.05,6.13,0,136.98,149.68
geneva,0.15,wsp,30.0,2877.36,9.26,2.88,7.84,1.76,6.08,0,140.82,154.94
geneva,0.15,wsp,17.5,3032.89,9.52,3.03,7.52,2.0,5.52,0,135.92,159.9
geneva,0.15,wsp,27.5,3189.37,9.44,3.19,7.27,1.97,5.3,0,130.3,164.77
geneva,0.15,wsp,27.5,3264.42,9.47,3.26,7.06,1.99,5.07,0,149.1,167.35
geneva,0.15,wsp,27.5,3401.95,9.71,3.4,6.48,2.22,4.26,0,135.77,173.08
geneva,0.15,wsp,17.5,3520.03,9.5,3.52,6.1,2.04,4.06,0,130.87,177.84
geneva,0.15,wsp,27.5,3625.35,9.34,3.63,5.87,1.87,4.0,0,139.88,182.04
geneva,0.15,wsp,25.0,3718.95,9.62,3.72,5.77,2.13,3.64,0,141.11,185.63
geneva,0.15,wsp,15.0,3797.22,9.17,3.8,5.73,1.69,4.04,0,142.68,188.71
geneva,0.15,wsp,17.5,3861.87,9.24,3.86,5.59,1.81,3.78,0,136.65,191.42
geneva,0.15,wsp,22.5,3918.21,9.47,3.92,5.39,2.04,3.35,0,148.19,194.04
geneva,0.15,wsp,40.0,3960.58,9.63,3.96,5.23,2.16,3.07,0,140.99,196.04
geneva,0.15,wsp,37.5,3947.96,9.56,3.95,5.27,2.06,3.21,0,139.32,195.89
geneva,0.15,wsp,15.0,3964.2,9.08,3.96,5.23,1.64,3.59,0,141.46,196.62
geneva,0.15,wsp,20.0,3971.56,9.38,3.97,5.22,1.97,3.25,0,139.07,196.88
geneva,0.15,wsp,32.5,3975.13,9.94,3.98,5.23,2.48,2.75,0,136.98,196.84
