city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.19,swp,1.38,1313.3,13.51,1.31,12.08,5.61,6.47,0,49.27,98.97
bern,0.19,swp,1.38,1338.52,14.41,1.34,11.98,6.54,5.44,0,48.36,98.87
bern,0.19,swp,0.0,1428.48,13.91,1.43,11.49,6.03,5.46,0,47.18,101.42
bern,0.19,swp,2.76,1470.63,14.63,1.47,11.53,6.75,4.78,0,45.19,101.37
bern,0.19,swp,1.38,1517.8,14.31,1.52,11.47,6.47,5.0,0,46.57,102.77
bern,0.19,swp,2.76,1405.7,15.8,1.41,11.9,7.98,3.92,0,45.36,99.01
bern,0.19,swp,1.38,1479.67,14.45,1.48,11.31,6.57,4.74,0,47.72,101.98
bern,0.19,swp,4.14,1518.17,15.09,1.52,10.97,7.19,3.78,0,45.14,103.14
bern,0.19,swp,4.14,1513.21,15.47,1.51,11.04,7.55,3.49,0,44.59,102.29
bern,0.19,swp,1.38,1653.83,13.39,1.65,10.43,5.53,4.9,0,42.56,106.21
bern,0.19,swp,4.14,1559.04,16.13,1.56,11.46,8.17,3.29,0,44.25,102.28
bern,0.19,swp,5.52,1697.5,14.72,1.7,10.79,6.82,3.97,0,45.42,106.87
bern,0.19,swp,4.14,1634.52,15.96,1.63,11.3,8.01,3.29,0,47.71,104.81
bern,0.19,swp,2.76,1570.59,16.1,1.57,11.86,8.21,3.65,0,46.85,102.73
bern,0.19,swp,5.52,1648.41,14.75,1.65,10.94,6.8,4.14,0,40.32,107.08
bern,0.19,swp,2.76,1519.65,15.74,1.52,11.55,7.82,3.73,0,47.41,103.47
bern,0.19,swp,5.52,1596.71,14.6,1.6,11.45,6.75,4.7,0,43.71,105.17
bern,0.19,swp,2.76,1485.62,16.21,1.49,11.99,8.3,3.69,0,46.53,101.44
bern,0.19,swp,1.38,1294.5,16.79,1.29,13.23,8.83,4.4,0,41.47,92.58
bern,0.19,swp,1.38,1381.73,14.66,1.38,12.03,6.75,5.28,0,46.98,97.62
bern,0.19,swp,2.76,1378.17,15.36,1.38,11.86,7.49,4.37,0,49.15,100.04
bern,0.19,swp,4.14,1327.5,15.57,1.33,11.17,7.66,3.51,0,48.17,100.26
bern,0.19,swp,0.0,1383.86,14.4,1.38,11.42,6.43,4.99,0,52.9,97.75
bern,0.19,swp,1.38,1422.28,15.09,1.42,11.32,7.13,4.19,0,43.33,98.4
bern,0.19,swp,2.76,1440.52,15.19,1.44,11.47,7.22,4.25,0,42.95,98.72
bern,0.19,swp,2.76,1516.38,14.52,1.52,11.26,6.56,4.7,0,46.52,101.72
bern,0.19,swp,1.38,1289.56,17.29,1.29,12.87,9.31,3.56,0,46.94,93.97
bern,0.19,swp,1.38,1192.67,16.79,1.19,13.23,8.87,4.36,0,42.17,91.3
bern,0.19,swp,1.38,1171.85,16.77,1.17,13.45,8.86,4.59,0,47.53,90.1
bern,0.19,swp,2.76,1347.0,14.72,1.35,12.24,6.75,5.49,0,45.54,96.02
bern,0.19,swp,2.76,1500.66,14.54,1.5,11.01,6.52,4.49,0,44.67,101.91
bern,0.19,swp,1.38,1321.83,17.37,1.32,12.46,9.47,2.99,0,46.77,95.41
bern,0.19,swp,2.76,1357.82,15.72,1.36,12.07,7.8,4.27,0,47.98,97.24
bern,0.19,swp,1.38,1478.8,14.69,1.48,11.31,6.75,4.56,0,47.7,101.79
bern,0.19,swp,1.38,1573.43,14.23,1.57,10.33,6.27,4.06,0,45.03,105.74
bern,0.19,swp,2.76,1482.8,15.81,1.48,11.92,7.92,4.0,0,40.7,98.19
bern,0.19,swp,1.38,1293.12,17.15,1.29,13.13,9.24,3.89,0,42.1,92.88
bern,0.19,swp,4.14,1425.73,14.51,1.43,11.74,6.55,5.19,0,44.19,99.5
bern,0.19,swp,1.38,1502.47,14.32,1.5,11.17,6.36,4.81,0,46.87,104.68
bern,0.19,swp,2.76,1577.61,14.14,1.58,9.82,6.22,3.6,0,39.65,109.1
bern,0.19,swp,5.52,1656.19,14.12,1.66,10.58,6.13,4.45,0,41.68,105.7
bern,0.19,swp,2.76,1630.07,14.8,1.63,11.45,6.86,4.59,0,42.26,103.65
bern,0.19,swp,2.76,1553.38,15.6,1.55,11.87,7.65,4.22,0,45.82,102.0
bern,0.19,swp,2.76,1681.7,14.06,1.68,10.85,6.04,4.81,0,45.19,108.0
bern,0.19,swp,4.14,1559.5,15.77,1.56,11.21,7.81,3.4,0,47.05,104.65
bern,0.19,swp,4.14,1613.35,14.91,1.61,10.59,6.88,3.71,0,46.57,107.41
bern,0.19,swp,2.76,1533.97,15.94,1.53,11.72,8.0,3.72,0,47.53,102.44
bern,0.19,swp,4.14,1627.76,14.83,1.63,11.29,6.88,4.41,0,42.09,105.15
bern,0.19,swp,2.76,1489.96,16.97,1.49,12.65,9.03,3.62,0,46.63,99.41
bern,0.19,swp,9.66,1577.42,14.74,1.58,11.7,6.84,4.86,0,44.54,103.75
bern,0.19,swp,2.76,1610.04,14.48,1.61,10.91,6.55,4.36,0,43.89,106.52
bern,0.19,swp,1.38,1716.98,13.36,1.72,10.55,5.45,5.1,0,46.65,111.09
bern,0.19,swp,2.76,1429.07,16.78,1.43,12.03,8.9,3.13,0,46.55,102.13
bern,0.19,swp,2.76,1510.48,14.62,1.51,12.42,6.7,5.72,0,43.46,99.06
bern,0.19,swp,4.14,1526.33,15.16,1.53,11.92,7.24,4.68,0,46.19,100.07
bern,0.19,swp,2.76,1489.94,15.7,1.49,11.57,7.78,3.79,0,43.54,100.32
