city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.13,swp,1.19,522.18,18.93,0.52,16.84,10.66,6.18,0,33.13,71.76
bern,0.13,swp,1.19,496.21,17.82,0.5,15.91,9.58,6.33,0,37.98,74.17
bern,0.13,swp,1.19,553.88,17.09,0.55,15.21,8.83,6.38,0,38.89,78.21
bern,0.13,swp,0.0,231.68,16.62,0.23,18.27,8.37,9.9,30,39.84,62.44
bern,0.13,swp,0.0,285.47,15.69,0.29,17.99,7.43,10.56,0,37.77,62.44
bern,0.13,swp,0.0,346.67,17.27,0.35,16.99,9.06,7.93,0,37.04,66.91
bern,0.13,swp,1.19,397.52,16.36,0.4,15.84,8.14,7.7,0,40.47,71.06
bern,0.13,swp,1.19,471.65,16.75,0.47,15.02,8.48,6.54,0,39.02,75.83
bern,0.13,swp,0.0,538.09,16.81,0.54,14.35,8.52,5.83,0,40.44,77.22
bern,0.13,swp,2.38,573.96,17.07,0.57,14.52,8.77,5.75,0,37.57,75.01
bern,0.13,swp,1.19,577.59,17.65,0.58,15.18,9.33,5.85,0,41.01,72.34
bern,0.13,swp,1.19,621.66,17.19,0.62,14.59,8.86,5.73,0,40.63,75.58
bern,0.13,swp,1.19,567.07,19.81,0.57,16.62,11.52,5.1,0,36.88,71.05
bern,0.13,swp,2.38,618.01,16.77,0.62,15.52,8.51,7.01,0,38.36,75.84
bern,0.13,swp,1.19,539.25,20.45,0.54,18.03,12.21,5.82,0,38.66,69.3
bern,0.13,swp,1.19,464.4,18.92,0.46,17.78,10.72,7.06,0,37.0,69.29
bern,0.13,swp,0.0,530.46,16.86,0.53,16.24,8.59,7.65,0,35.37,75.37
bern,0.13,swp,2.38,567.08,17.07,0.57,15.03,8.82,6.21,0,32.77,79.57
bern,0.13,swp,0.0,435.3,21.61,0.44,18.9,13.37,5.53,0,40.44,66.21
bern,0.13,swp,1.19,450.34,16.95,0.45,17.52,8.68,8.84,0,38.76,67.81
bern,0.13,swp,1.19,476.97,16.63,0.48,16.56,8.4,8.16,0,40.7,68.63
bern,0.13,swp,0.0,505.88,16.72,0.51,15.34,8.43,6.91,0,41.42,72.37
bern,0.13,swp,0.0,503.04,17.2,0.5,15.16,8.94,6.22,0,40.91,77.04
bern,0.13,swp,0.0,452.86,18.25,0.45,14.39,10.04,4.35,0,38.48,77.59
bern,0.13,swp,0.0,411.64,19.21,0.41,16.5,10.96,5.54,0,38.81,68.71
bern,0.13,swp,0.0,469.91,16.14,0.47,15.13,7.88,7.25,0,36.13,72.81
bern,0.13,swp,0.0,422.78,18.77,0.42,16.24,10.52,5.72,0,34.47,70.74
bern,0.13,swp,1.19,464.74,17.68,0.46,14.8,9.44,5.36,0,37.29,74.83
bern,0.13,swp,2.38,501.87,17.53,0.5,15.36,9.34,6.02,0,36.39,69.98
bern,0.13,swp,1.19,559.17,16.49,0.56,14.64,8.29,6.35,0,40.66,73.46
bern,0.13,swp,1.19,586.7,17.3,0.59,14.48,9.06,5.42,0,38.55,75.13
bern,0.13,swp,2.38,636.06,17.07,0.64,14.42,8.85,5.57,0,37.99,76.92
bern,0.13,swp,1.19,682.76,17.25,0.68,14.26,9.02,5.24,0,40.68,78.9
bern,0.13,swp,1.19,578.65,20.7,0.58,16.81,12.41,4.4,0,40.08,71.42
bern,0.13,swp,0.0,285.14,16.73,0.29,18.84,8.45,10.39,16,39.12,60.42
bern,0.13,swp,0.0,375.73,16.43,0.38,18.03,8.21,9.82,0,39.59,64.3
bern,0.13,swp,0.0,463.0,17.47,0.46,16.41,9.24,7.17,0,39.11,70.38
bern,0.13,swp,1.19,546.66,17.22,0.55,15.31,8.96,6.35,0,36.14,75.8
bern,0.13,swp,0.0,441.62,17.04,0.44,16.19,8.8,7.39,14,35.56,71.23
bern,0.13,swp,1.19,536.94,17.64,0.54,15.41,9.36,6.05,0,37.37,77.14
bern,0.13,swp,1.19,530.5,18.18,0.53,14.81,9.92,4.89,0,39.41,77.16
bern,0.13,swp,2.38,571.48,17.32,0.57,15.23,9.1,6.13,0,36.64,72.97
bern,0.13,swp,1.19,640.01,16.79,0.64,14.59,8.47,6.12,0,35.25,76.87
bern,0.13,swp,1.19,668.26,17.04,0.67,13.98,8.76,5.22,0,37.11,78.65
bern,0.13,swp,0.0,740.73,15.11,0.74,13.74,6.87,6.87,0,40.88,78.7
bern,0.13,swp,3.57,723.15,16.99,0.72,14.23,8.7,5.53,2,40.71,77.61
bern,0.13,swp,1.19,766.17,15.89,0.77,13.7,7.59,6.11,0,39.75,81.24
bern,0.13,swp,2.38,641.22,19.96,0.64,16.91,11.74,5.17,0,40.94,71.71
bern,0.13,swp,2.38,645.82,17.68,0.65,16.15,9.4,6.75,0,38.64,74.1
bern,0.13,swp,2.38,681.9,17.33,0.68,15.16,8.99,6.17,0,38.89,77.95
