scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,3.86,244332,246556,243431,243.43,3.76,3.21,7.57,59.01,26.92,8,3,2,0,59.44,978,8,1,0,928
scenario 1,alg3,3.84,243431,246218,243386,243.39,3.74,3.19,7.55,58.89,25.36,9,3,2,0,59.36,980,6,0,0,922
scenario 1,alg3,3.85,243386,246535,243791,243.79,3.76,3.2,7.55,58.93,27.0,11,4,1,0,59.45,978,5,1,0,928
scenario 1,alg3,3.89,243791,246596,243698,243.7,3.82,3.25,7.61,58.95,27.0,13,2,0,0,59.43,978,5,2,0,930
scenario 1,alg3,3.88,243698,246406,243787,243.79,3.81,3.25,7.6,58.97,26.57,13,0,1,0,59.43,978,4,4,0,930
scenario 1,alg3,3.84,243787,246447,244257,244.26,3.73,3.18,7.54,59.14,27.17,9,2,1,0,59.53,980,5,3,0,938
scenario 1,alg3,3.87,244257,246632,244559,244.56,3.77,3.2,7.55,59.11,26.0,7,3,1,0,59.48,984,3,2,0,938
scenario 1,alg3,3.88,244559,247035,244206,244.21,3.8,3.24,7.6,59.02,27.64,8,2,1,0,59.37,984,3,2,0,925
scenario 1,alg3,3.92,244206,247359,245037,245.04,3.83,3.25,7.61,59.21,26.5,5,3,0,0,59.47,986,5,1,0,939
scenario 1,alg3,3.91,245037,247554,245112,245.11,3.8,3.24,7.59,59.15,26.7,7,2,1,0,59.47,986,4,0,0,938
scenario 1,alg3,3.91,245112,247677,244565,244.56,3.82,3.24,7.59,59.05,26.18,7,3,1,0,59.42,985,4,0,0,932
scenario 1,alg3,3.92,244565,247403,244756,244.76,3.79,3.25,7.62,59.09,27.8,8,1,1,0,59.4,985,5,0,0,931
scenario 1,alg3,3.9,244756,247652,245267,245.27,3.78,3.24,7.6,59.27,27.71,6,1,0,0,59.49,986,6,1,0,941
scenario 1,alg3,3.94,245267,247715,244639,244.64,3.83,3.31,7.66,59.1,26.89,7,2,0,0,59.39,986,4,1,0,930
scenario 1,alg3,3.93,244639,247639,244571,244.57,3.85,3.29,7.65,59.16,27.25,6,2,0,0,59.42,985,5,1,1,933
scenario 1,alg3,3.96,244571,247350,244432,244.43,3.81,3.27,7.63,59.09,26.1,8,1,1,0,59.42,983,7,0,0,931
scenario 1,alg3,3.9,244432,247260,244049,244.05,3.81,3.27,7.63,58.98,26.33,9,2,1,0,59.38,983,4,1,0,926
scenario 1,alg3,3.91,244049,247125,244640,244.64,3.8,3.24,7.6,59.1,27.08,11,2,0,0,59.52,981,4,1,1,937
scenario 1,alg3,3.89,244640,247123,244313,244.31,3.79,3.24,7.59,59.01,26.43,11,3,0,0,59.48,981,4,0,1,934
scenario 1,alg3,3.88,244313,246912,244171,244.17,3.8,3.24,7.6,58.97,27.13,12,3,0,0,59.45,980,4,0,1,930
scenario 1,alg3,3.91,244171,246943,245043,245.04,3.81,3.25,7.6,59.15,27.0,9,1,1,0,59.51,984,5,0,0,939
scenario 1,alg3,3.87,245043,247526,244720,244.72,3.79,3.24,7.6,59.06,26.0,9,1,1,0,59.42,986,3,0,0,934
scenario 1,alg3,3.89,244720,247498,244038,244.04,3.87,3.33,7.68,58.99,27.0,10,1,1,0,59.38,981,6,1,0,924
scenario 1,alg3,3.87,244038,247166,243822,243.82,3.89,3.34,7.69,58.97,27.36,10,1,0,0,59.32,983,4,2,0,922
scenario 1,alg3,3.89,243822,247087,244096,244.1,3.83,3.31,7.66,59.0,25.22,7,2,0,0,59.31,986,4,1,0,920
scenario 1,alg3,3.88,244096,247607,243555,243.56,3.83,3.3,7.65,58.84,26.86,12,2,0,0,59.3,982,1,3,0,916
scenario 1,alg3,3.88,243555,247095,243853,243.85,3.84,3.29,7.64,58.9,27.0,9,4,1,0,59.36,983,1,2,0,922
scenario 1,alg3,3.87,243853,247112,244431,244.43,3.81,3.29,7.64,58.98,27.29,10,4,0,0,59.43,982,3,1,0,931
scenario 1,alg3,3.85,244431,247194,244125,244.12,3.8,3.28,7.63,59.02,27.3,6,4,0,0,59.34,985,4,1,0,926
scenario 1,alg3,3.88,244125,247237,244411,244.41,3.84,3.31,7.67,59.14,27.0,3,4,0,0,59.37,987,5,1,0,929
