scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg1,7.94,250000,250000,250000,250.0,6.17,3.24,7.6,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.43,250000,250000,250000,250.0,5.95,3.28,7.64,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,9.01,250000,250000,250000,250.0,7.14,3.32,7.68,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.6,250000,250000,250000,250.0,6.93,3.28,7.64,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.99,250000,250000,250000,250.0,6.29,3.28,7.63,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.28,250000,250000,250000,250.0,5.84,3.25,7.6,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.29,250000,250000,250000,250.0,5.84,3.23,7.58,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.58,250000,250000,250000,250.0,6.04,3.21,7.57,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.26,250000,250000,250000,250.0,6.56,3.27,7.62,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.29,250000,250000,250000,250.0,6.59,3.29,7.65,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.65,250000,250000,250000,250.0,6.87,3.3,7.66,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.25,250000,250000,250000,250.0,6.56,3.29,7.65,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.39,250000,250000,250000,250.0,5.91,3.24,7.61,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.91,250000,250000,250000,250.0,7.05,3.27,7.65,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.97,250000,250000,250000,250.0,6.29,3.29,7.66,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.71,250000,250000,250000,250.0,6.1,3.28,7.65,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.58,250000,250000,250000,250.0,6.0,3.24,7.61,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.92,250000,250000,250000,250.0,6.26,3.26,7.62,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.3,250000,250000,250000,250.0,5.81,3.27,7.64,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
