city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.13,swp,0.0,667.99,17.91,0.67,16.7,9.78,6.92,0,56.55,74.71
geneva,0.13,swp,0.0,618.75,21.15,0.62,17.55,13.0,4.55,0,54.29,72.11
geneva,0.13,swp,0.0,639.06,18.42,0.64,16.87,10.31,6.56,0,56.77,74.1
geneva,0.13,swp,0.0,642.73,20.45,0.64,17.31,12.41,4.9,0,52.14,71.98
geneva,0.13,swp,0.0,584.54,21.61,0.58,17.93,13.45,4.48,0,102.28,69.15
geneva,0.13,swp,0.0,569.21,21.82,0.57,18.03,13.67,4.36,0,124.21,68.67
geneva,0.13,swp,0.0,460.08,23.19,0.46,19.7,15.08,4.62,0,133.1,63.35
geneva,0.13,swp,0.0,423.01,21.07,0.42,18.8,12.98,5.82,0,128.02,65.26
geneva,0.13,swp,0.0,439.3,21.4,0.44,18.09,13.22,4.87,0,118.94,67.93
geneva,0.13,swp,0.0,379.75,22.39,0.38,18.86,14.28,4.58,0,134.38,65.88
geneva,0.13,swp,0.0,420.76,20.42,0.42,17.9,12.3,5.6,0,123.83,68.36
geneva,0.13,swp,0.0,442.94,20.52,0.44,18.24,12.47,5.77,0,119.63,66.11
geneva,0.13,swp,0.0,443.82,21.13,0.44,17.97,13.02,4.95,0,127.32,66.82
geneva,0.13,swp,0.0,473.01,19.89,0.47,17.39,11.76,5.63,0,138.45,68.45
geneva,0.13,swp,0.0,484.26,20.36,0.48,17.59,12.27,5.32,0,127.37,67.35
geneva,0.13,swp,0.0,498.15,21.0,0.5,17.62,12.93,4.69,0,126.23,67.77
geneva,0.13,swp,0.0,494.97,21.33,0.49,17.8,13.28,4.52,0,124.89,67.51
geneva,0.13,swp,0.0,500.56,20.7,0.5,17.66,12.59,5.07,0,129.56,68.28
geneva,0.13,swp,0.0,484.42,21.53,0.48,17.84,13.42,4.42,0,122.14,67.87
geneva,0.13,swp,0.0,493.56,20.6,0.49,17.34,12.51,4.83,0,121.94,69.05
geneva,0.13,swp,0.0,494.81,21.14,0.49,17.76,13.07,4.69,0,125.18,67.62
geneva,0.13,swp,0.0,503.64,20.89,0.5,17.61,12.81,4.8,0,124.34,67.93
geneva,0.13,swp,0.0,536.78,19.96,0.54,17.1,11.87,5.23,0,124.79,70.01
geneva,0.13,swp,0.0,583.55,18.45,0.58,16.7,10.31,6.39,0,124.32,71.49
geneva,0.13,swp,0.0,592.84,20.71,0.59,17.13,12.52,4.61,0,124.58,70.11
