city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
zurich,0.1,flatwise,0.0,234.37,12.65,0.23,21.6,4.68,16.92,4,0.56,53.5,518,139,66,17,121,89,43,7,1
zurich,0.1,flatwise,0.0,213.6,12.39,0.21,21.89,4.48,17.41,3,0.56,53.17,533,112,62,15,146,86,42,4,0
zurich,0.1,flatwise,0.0,231.09,12.57,0.23,20.75,4.6,16.15,3,0.53,56.6,520,119,66,15,147,86,41,6,3
zurich,0.1,flatwise,0.0,162.78,13.14,0.16,22.95,5.21,17.74,6,0.68,49.71,592,103,53,12,136,77,26,1,0
zurich,0.1,flatwise,0.0,207.23,12.57,0.21,20.33,4.62,15.71,0,0.45,57.94,516,104,64,11,174,89,37,5,0
zurich,0.1,flatwise,0.0,218.52,12.23,0.22,19.6,4.28,15.32,2,0.47,60.15,490,108,58,11,193,90,44,6,0
zurich,0.1,flatwise,0.0,235.77,12.51,0.24,18.91,4.57,14.34,1,0.49,62.6,413,107,61,14,263,91,44,7,2
zurich,0.1,flatwise,0.0,272.83,12.58,0.27,17.73,4.67,13.06,1,0.52,66.75,256,126,69,19,378,89,54,9,2
zurich,0.1,flatwise,0.0,327.01,12.1,0.33,16.24,4.12,12.12,1,0.53,72.33,115,145,82,28,467,96,56,11,5
zurich,0.1,flatwise,0.0,239.37,12.67,0.24,19.21,4.67,14.54,4,0.76,61.47,392,124,63,16,266,88,48,3,0
zurich,0.1,flatwise,0.0,239.08,12.63,0.24,19.34,4.64,14.7,2,0.55,60.8,393,135,71,19,256,79,46,1,0
zurich,0.1,flatwise,0.0,204.39,12.29,0.2,20.86,4.36,16.5,4,0.56,56.29,469,112,72,12,211,85,36,3,0
zurich,0.1,flatwise,0.0,198.12,12.55,0.2,20.96,4.56,16.4,2,0.54,55.94,484,109,58,12,209,84,41,3,0
zurich,0.1,flatwise,0.0,192.17,12.49,0.19,21.13,4.57,16.56,2,0.57,55.25,500,119,50,10,196,80,42,3,0
zurich,0.1,flatwise,0.0,173.68,12.59,0.17,21.7,4.68,17.02,3,0.6,53.6,523,114,59,10,196,65,31,2,0
zurich,0.1,flatwise,0.0,98.86,13.06,0.1,24.85,5.07,19.78,5,0.7,44.25,706,79,28,3,117,51,14,2,0
zurich,0.1,flatwise,0.0,126.7,12.24,0.13,21.72,4.31,17.41,0,0.42,53.5,644,86,36,3,149,60,19,3,0
zurich,0.1,flatwise,0.0,159.61,12.51,0.16,19.14,4.53,14.61,0,0.41,61.16,539,109,44,9,205,68,22,4,2
zurich,0.1,flatwise,0.0,199.28,12.62,0.2,16.58,4.61,11.97,0,0.46,69.58,0,117,51,14,706,79,28,5,3
zurich,0.1,flatwise,0.0,212.33,13.13,0.21,16.43,5.18,11.25,1,0.61,71.55,0,125,54,15,689,80,32,5,2
zurich,0.1,flatwise,0.0,244.02,12.53,0.24,15.51,4.61,10.9,1,0.65,75.03,0,151,57,19,644,86,36,7,1
zurich,0.1,flatwise,0.0,237.78,12.58,0.24,15.71,4.71,11.0,2,0.75,72.69,41,173,60,18,584,83,33,8,0
