net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
1.46,67537,77660,77260,77.26,3.17,3.33,7.68,41.9,26.51,114,114,113,82,53.18,181,134,123,139,86
1.63,77260,87455,86756,86.76,3.14,3.28,7.63,43.1,26.55,115,119,126,40,54.13,216,136,116,132,133
1.89,86756,96545,95697,95.7,3.28,3.34,7.69,43.16,26.16,129,124,142,0,54.26,255,119,110,121,165
1.85,95697,105823,104962,104.96,3.01,3.31,7.66,43.48,26.31,134,124,140,0,54.82,295,113,112,82,199
2.21,104962,115287,113871,113.87,3.23,3.29,7.65,44.05,26.59,138,117,133,0,55.12,329,118,125,40,229
2.41,113871,124387,122402,122.4,3.3,3.3,7.65,44.75,26.44,121,112,122,0,54.83,381,122,141,1,260
2.44,122402,133672,131445,131.44,3.13,3.28,7.64,46.27,26.59,113,115,85,0,55.23,425,122,139,1,293
2.44,131445,143123,140743,140.74,2.97,3.29,7.64,47.25,26.65,116,129,45,1,55.7,462,118,128,1,337
3.02,140743,151951,149753,149.75,3.4,3.28,7.64,48.01,26.21,118,143,7,0,55.99,498,114,119,1,384
2.86,149753,160328,157469,157.47,3.03,3.32,7.68,48.53,26.47,123,138,5,0,56.52,530,118,83,3,416
3.1,157469,168095,164596,164.6,3.2,3.32,7.67,49.04,26.54,120,125,7,1,56.66,568,128,48,3,443
3.51,164596,175501,166950,166.95,3.69,3.31,7.66,48.55,26.25,117,105,5,17,55.74,594,143,15,4,403
3.14,166950,180886,178446,178.45,2.98,3.31,7.66,50.51,26.53,117,77,5,16,57.08,634,135,12,4,515
3.7,178446,188734,185513,185.51,3.45,3.35,7.71,51.23,26.96,128,49,6,16,57.26,673,115,9,4,543
3.65,185513,196273,193466,193.47,3.23,3.31,7.66,52.02,26.13,142,18,4,2,57.17,703,107,9,15,580
3.65,193466,203394,199901,199.9,3.13,3.32,7.68,52.7,26.75,138,14,6,1,57.61,737,81,8,15,613
3.76,199901,209651,206262,206.26,3.06,3.31,7.66,53.77,26.99,121,10,4,0,57.96,787,52,10,16,640
