city_topology,topology_radius,routing_algorithm,net_congestion,total_throughput,e2e_latency,throughput,net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k
zurich,0.07,swp,0.0,1354.46,13.91,1.35,12.68,0,43.74,100.02,67,135,110,148,112,130,139,159
zurich,0.07,swp,0.0,1531.26,13.98,1.53,11.67,0,43.45,107.91,30,126,111,139,119,132,132,211
zurich,0.07,swp,0.0,1703.41,13.98,1.7,11.08,0,43.37,113.75,0,116,136,121,109,127,127,264
zurich,0.07,swp,0.0,1881.4,13.96,1.88,10.64,0,43.26,119.39,0,112,130,139,67,135,110,307
zurich,0.07,swp,0.0,2054.08,13.89,2.05,10.08,0,43.36,125.1,0,119,132,132,30,126,111,350
zurich,0.07,swp,0.0,2221.46,14.02,2.22,9.78,0,43.4,130.19,0,109,127,127,0,116,136,385
zurich,0.07,swp,0.0,2389.78,13.92,2.39,9.24,0,43.69,136.89,0,67,135,110,0,112,130,446
zurich,0.07,swp,0.0,2434.53,13.96,2.43,9.03,375,64.41,139.42,1,43,144,104,5,120,126,457
