net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
4.26,196187,227191,222191,74.06,3.2,3.32,7.67,40.67,26.54,397,351,361,289,53.0,485,372,365,380,204
4.76,222191,253728,248523,82.84,3.24,3.31,7.67,41.9,26.62,390,344,373,175,53.3,604,370,359,385,316
5.25,248523,279962,275316,91.77,3.24,3.27,7.63,43.35,26.39,383,328,370,66,53.85,734,345,386,388,424
5.14,275316,307209,299861,99.95,2.9,3.29,7.65,43.48,26.33,367,363,378,66,54.5,841,337,356,292,529
6.16,299861,331522,317579,105.86,3.31,3.28,7.64,43.4,26.11,356,350,361,116,54.65,933,340,367,177,586
6.49,317579,350395,339480,113.16,3.29,3.29,7.65,43.68,26.41,325,366,367,137,55.12,1037,329,347,92,717
7.08,339480,370782,354984,118.33,3.42,3.29,7.65,44.4,26.57,336,341,290,145,54.9,1104,347,348,89,747
7.14,354984,387793,373140,124.38,3.29,3.28,7.63,45.51,26.53,340,338,191,140,55.12,1173,337,362,119,871
6.84,373140,402720,393648,131.22,3.04,3.27,7.63,46.98,26.56,324,335,109,118,55.55,1266,352,361,135,962
7.88,393648,423355,405779,135.26,3.32,3.28,7.63,46.9,26.36,336,334,98,135,55.74,1342,331,285,139,980
7.81,405779,437891,425215,141.74,3.2,3.26,7.62,47.06,25.98,328,351,121,102,56.12,1422,332,201,143,1096
8.38,425215,455064,438188,146.06,3.39,3.26,7.61,46.8,26.48,342,349,129,136,56.3,1475,331,121,117,1126
7.5,438188,469186,455452,151.82,2.9,3.26,7.61,47.93,26.42,323,285,135,107,56.43,1570,341,106,133,1242
8.48,455452,484855,463063,154.35,3.23,3.29,7.64,47.99,26.57,338,205,135,147,56.11,1608,350,118,99,1231
9.21,463063,494579,464930,154.98,3.57,3.25,7.61,48.31,26.38,357,136,120,175,56.13,1633,323,128,128,1215
8.45,464930,498136,474509,158.17,3.14,3.27,7.63,48.59,26.46,331,117,135,199,56.39,1704,266,139,109,1293
9.6,474509,506466,489871,163.29,3.36,3.28,7.64,49.32,26.36,325,121,102,182,56.7,1783,206,141,140,1387
8.67,489871,520185,503283,167.76,3.08,3.28,7.64,49.59,26.52,331,133,126,128,56.86,1836,144,120,182,1473
9.78,503283,531226,479414,159.8,3.79,3.3,7.66,48.48,26.06,266,117,104,247,55.74,1876,119,110,161,1268
9.67,479414,517900,486195,162.06,3.62,3.31,7.66,48.24,25.92,209,102,102,327,55.55,1914,120,91,135,1177
9.79,486195,530031,484207,161.4,3.64,3.28,7.64,48.4,26.42,174,97,110,421,56.42,1904,108,101,85,1362
9.48,484207,517921,486326,162.11,3.52,3.28,7.63,48.88,26.18,142,95,113,365,55.99,1913,111,79,182,1324
9.38,486326,521940,479175,159.72,3.57,3.3,7.65,49.21,26.58,143,89,106,372,56.22,1891,99,78,222,1415
9.73,479175,508689,491339,163.78,3.57,3.33,7.69,50.73,26.63,127,96,86,271,56.5,1901,106,94,319,1474
8.65,491339,518467,499557,166.52,3.14,3.3,7.65,51.27,26.51,126,82,158,207,57.12,1897,112,101,317,1629
9.57,499557,518592,504014,168.0,3.43,3.3,7.66,51.77,26.06,118,89,209,124,57.42,1914,102,106,338,1663
