net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
22.21,607957,615050,603132,201.04,7.39,3.29,7.65,54.46,28.22,164,60,162,39,58.79,2243,140,191,1,2208
22.62,603132,611372,607667,202.56,7.36,3.27,7.63,55.7,26.28,112,64,18,40,58.19,2358,77,328,3,2202
20.87,607667,620302,620302,206.77,6.62,3.28,7.63,55.57,25.74,111,126,2,38,58.6,2371,112,235,5,2225
21.16,620302,632824,609468,203.16,6.75,3.27,7.63,54.55,25.69,158,190,6,74,59.35,2283,96,154,39,2243
21.0,609468,617562,572549,190.85,7.73,3.24,7.6,51.41,25.57,179,290,15,201,59.06,2145,100,22,48,2033
20.27,572549,585574,585574,195.19,6.86,3.24,7.6,52.07,26.51,207,208,14,197,58.81,2184,131,10,49,2060
20.65,585574,598370,598370,199.46,6.78,3.25,7.61,53.63,28.35,144,150,46,140,58.44,2268,172,9,71,2145
19.56,598370,610599,555235,185.08,7.24,3.24,7.6,53.22,25.76,161,33,52,175,57.71,2061,303,24,191,1923
20.35,555235,569762,526511,175.5,7.92,3.25,7.61,51.3,25.29,229,26,56,310,58.09,1936,254,23,166,1787
19.29,526511,542316,542316,180.77,6.97,3.25,7.61,51.47,26.41,284,25,72,309,58.95,1990,153,48,119,1851
20.52,542316,558139,548180,182.73,7.47,3.23,7.59,50.55,26.61,361,26,165,181,58.29,1994,61,57,155,1879
17.38,548180,562528,497756,165.92,7.1,3.25,7.61,50.02,25.93,267,70,140,239,57.58,1806,165,56,257,1642
16.47,497756,515591,491882,163.96,6.38,3.26,7.62,49.69,26.22,277,49,98,346,57.79,1797,125,69,239,1603
19.1,491882,509506,497052,165.68,7.69,3.27,7.63,49.92,26.5,219,54,126,352,57.74,1850,113,145,141,1635
15.87,497052,514734,514734,171.58,6.02,3.28,7.64,51.07,26.85,197,54,228,158,57.6,1910,84,142,227,1734
16.56,514734,530854,493035,164.34,6.29,3.3,7.65,50.63,26.03,133,75,217,243,57.68,1863,74,91,304,1703
18.25,493035,507005,507005,169.0,6.99,3.28,7.64,51.5,26.02,128,137,134,206,57.94,1902,59,116,318,1757
17.8,507005,519197,519197,173.07,6.63,3.27,7.63,51.75,27.19,99,132,201,206,58.38,1940,61,212,149,1863
18.55,519197,528361,528361,176.12,6.83,3.28,7.64,52.94,26.16,74,91,304,0,57.91,1996,75,217,243,1902
18.87,528361,538756,538756,179.59,6.89,3.29,7.64,52.9,26.54,59,116,318,0,58.08,2030,137,134,206,1940
19.18,538756,547988,547988,182.66,6.85,3.28,7.64,54.09,26.47,61,212,149,0,58.61,2039,132,201,206,1996
18.96,547988,554979,554979,184.99,6.61,3.26,7.62,52.74,26.03,75,217,243,0,58.54,2070,91,304,0,2030
17.4,554979,563786,563786,187.93,6.05,3.29,7.64,53.45,25.97,137,134,206,0,58.65,2089,116,318,0,2039
