net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
8.44,544674,561576,544567,181.52,4.13,3.29,7.65,51.96,26.21,105,100,115,243,57.9,2091,105,85,156,1844
8.5,544567,562153,544216,181.41,4.13,3.28,7.63,52.02,26.45,115,96,115,233,57.87,2084,103,102,152,1853
8.52,544216,561035,544558,181.52,4.13,3.29,7.65,52.45,26.5,111,93,109,196,57.75,2087,105,117,182,1855
8.5,544558,561498,545303,181.77,4.14,3.3,7.65,52.32,26.25,128,83,124,185,57.79,2081,101,108,190,1854
8.58,545303,562014,546372,182.12,4.14,3.3,7.66,52.41,26.01,106,90,119,210,58.0,2100,105,101,169,1869
8.55,546372,563082,546541,182.18,4.12,3.3,7.66,51.81,25.93,119,96,139,226,58.01,2100,89,93,138,1851
8.59,546541,564138,547226,182.41,4.14,3.31,7.67,51.88,26.18,121,94,150,208,57.94,2101,85,102,139,1857
8.68,547226,564778,549266,183.09,4.18,3.33,7.69,51.95,26.42,120,79,138,234,57.95,2113,90,96,130,1868
8.68,549266,566693,548812,182.94,4.16,3.31,7.67,52.29,26.11,108,85,110,216,57.77,2119,92,108,162,1864
8.7,548812,566400,549803,183.27,4.15,3.31,7.67,52.26,26.35,108,91,100,231,57.82,2120,91,117,142,1854
8.62,549803,568205,550560,183.52,4.14,3.29,7.65,52.34,26.21,117,83,108,225,57.99,2119,88,105,155,1877
8.59,550560,567811,551937,183.98,4.12,3.3,7.66,52.2,26.06,123,89,116,217,58.01,2120,86,99,150,1894
8.59,551937,568331,551577,183.86,4.12,3.3,7.66,52.03,26.29,116,104,122,223,58.0,2121,85,80,149,1877
8.65,551577,568749,551606,183.87,4.12,3.31,7.67,52.25,26.58,101,100,129,212,57.9,2133,82,93,150,1877
8.61,551606,569328,555283,185.09,4.12,3.29,7.65,52.59,26.24,96,87,104,209,57.81,2150,86,111,157,1904
8.61,555283,572260,554201,184.73,4.11,3.28,7.64,52.86,26.4,101,76,122,180,57.89,2128,99,116,178,1912
8.55,554201,569772,553546,184.52,4.11,3.28,7.64,52.85,26.4,101,77,118,198,58.06,2126,98,124,158,1908
8.62,553546,569510,553628,184.54,4.09,3.28,7.64,52.68,25.86,99,92,138,165,57.97,2133,90,111,172,1911
8.58,553628,569488,552383,184.13,4.12,3.3,7.65,52.23,26.42,114,102,151,182,58.02,2122,79,121,129,1881
8.58,552383,569608,552301,184.1,4.11,3.29,7.65,52.52,26.29,111,105,139,160,57.95,2122,83,117,163,1889
8.52,552301,569169,551165,183.72,4.1,3.26,7.62,52.39,26.21,100,93,154,171,57.85,2123,98,127,134,1883
8.58,551165,568035,551911,183.97,4.11,3.28,7.64,52.56,26.26,92,111,114,192,57.93,2126,100,118,147,1882
8.66,551911,568962,551222,183.74,4.13,3.31,7.66,52.35,26.28,97,107,137,189,57.94,2121,104,114,131,1881
8.64,551222,568526,553801,184.6,4.11,3.27,7.62,52.34,26.03,112,102,101,211,57.94,2130,94,118,132,1891
8.64,553801,570907,555024,185.01,4.11,3.27,7.62,52.4,26.19,115,96,108,213,58.05,2123,116,92,137,1901
8.65,555024,571389,553901,184.63,4.13,3.29,7.64,52.16,26.15,120,94,98,239,58.02,2131,100,95,123,1881
8.66,553901,571715,554769,184.92,4.12,3.27,7.62,52.15,26.12,113,98,100,235,57.94,2140,98,80,136,1890
8.66,554769,572330,557516,185.84,4.13,3.28,7.63,52.48,26.47,123,79,104,222,58.04,2144,92,82,154,1908
8.71,557516,574450,557177,185.73,4.11,3.26,7.61,52.4,26.19,117,84,106,212,57.88,2152,90,79,160,1893
8.65,557177,575146,557525,185.84,4.1,3.25,7.6,52.6,26.27,107,74,113,208,57.89,2155,100,84,159,1902
8.68,557525,574942,556890,185.63,4.1,3.26,7.62,52.69,26.37,109,72,113,204,57.93,2151,92,98,161,1901
8.64,556890,574297,558557,186.19,4.1,3.25,7.61,52.86,26.27,110,82,128,164,57.98,2149,96,95,176,1923
8.63,558557,574974,559832,186.61,4.07,3.26,7.61,52.87,26.53,123,86,139,146,58.06,2145,84,102,175,1938
8.65,559832,575175,559370,186.46,4.08,3.24,7.6,52.98,26.3,111,99,140,120,57.94,2154,79,114,183,1919
8.69,559370,576134,561588,187.2,4.08,3.24,7.6,52.61,26.08,109,103,138,161,58.05,2163,82,110,134,1931
8.65,561588,578149,562174,187.39,4.07,3.25,7.6,52.69,26.11,98,105,126,179,58.11,2168,89,116,119,1943
8.66,562174,578160,562418,187.47,4.08,3.23,7.59,52.62,26.48,93,110,121,195,58.09,2169,105,107,100,1931
8.69,562418,579328,564122,188.04,4.07,3.23,7.59,52.89,26.2,100,99,101,181,57.99,2171,111,111,126,1944
8.73,564122,580454,565818,188.61,4.11,3.25,7.61,52.95,26.2,103,103,96,181,58.08,2172,111,100,134,1966
8.69,565818,581181,566663,188.89,4.11,3.26,7.62,53.09,26.35,116,102,84,184,58.26,2168,102,96,148,1977
8.69,566663,581408,565905,188.63,4.1,3.25,7.6,52.9,26.3,114,105,108,166,58.13,2176,98,82,151,1962
8.73,565905,581647,567072,189.02,4.09,3.24,7.6,52.82,26.12,116,87,126,159,58.0,2186,99,81,146,1943
8.76,567072,584258,567061,189.02,4.11,3.27,7.62,52.88,26.36,114,86,132,160,58.08,2186,99,71,152,1947
8.78,567061,583932,566041,188.68,4.1,3.28,7.63,53.01,26.53,105,82,132,158,58.02,2184,107,103,129,1944
8.72,566041,582933,565701,188.57,4.1,3.26,7.61,52.88,26.17,111,86,122,156,57.91,2183,94,121,127,1934
8.82,565701,583140,567757,189.25,4.11,3.25,7.61,52.87,26.11,124,76,118,170,58.07,2189,87,111,125,1941
