city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.09,flatwise,0.0,45.15,15.21,0.05,28.34,7.36,20.98,3,11.43,34.97
geneva,0.09,flatwise,0.0,33.36,16.38,0.03,28.7,8.56,20.14,6,13.17,33.87
geneva,0.09,flatwise,0.0,37.26,15.56,0.04,27.13,7.75,19.38,1,11.26,38.65
geneva,0.09,flatwise,0.0,46.92,14.92,0.05,23.31,7.14,16.17,0,10.74,50.19
geneva,0.09,flatwise,0.0,36.91,15.74,0.04,27.21,8.01,19.2,4,15.06,38.54
geneva,0.09,flatwise,0.0,39.38,15.1,0.04,25.71,7.32,18.39,3,24.74,43.24
geneva,0.09,flatwise,0.0,38.05,15.14,0.04,26.12,7.36,18.76,3,26.33,41.95
geneva,0.09,flatwise,0.0,32.94,15.33,0.03,27.21,7.55,19.66,5,27.95,38.32
geneva,0.09,flatwise,0.0,40.05,15.31,0.04,24.37,7.55,16.82,1,27.96,46.82
geneva,0.09,flatwise,0.0,38.06,13.4,0.04,24.51,5.66,18.85,6,18.57,46.51
geneva,0.09,flatwise,0.0,35.77,15.54,0.04,25.78,7.71,18.07,7,28.01,42.64
geneva,0.09,flatwise,0.0,39.51,15.57,0.04,24.56,7.8,16.76,4,29.47,46.67
geneva,0.09,flatwise,0.0,30.49,15.04,0.03,27.51,7.3,20.21,10,25.15,37.46
geneva,0.09,flatwise,0.0,33.23,15.16,0.03,26.22,7.38,18.84,3,25.38,41.28
geneva,0.09,flatwise,0.0,26.84,15.92,0.03,28.87,8.15,20.72,5,27.7,33.47
geneva,0.09,flatwise,0.0,29.2,15.51,0.03,27.67,7.69,19.98,1,30.58,37.07
geneva,0.09,flatwise,0.0,30.39,15.4,0.03,27.08,7.61,19.47,2,27.31,38.7
geneva,0.09,flatwise,0.0,32.07,14.44,0.03,26.31,6.64,19.67,1,23.02,41.06
geneva,0.09,flatwise,0.0,37.87,14.99,0.04,23.54,7.14,16.4,1,25.48,49.42
geneva,0.09,flatwise,0.0,43.49,14.27,0.04,21.2,6.45,14.75,2,22.63,57.18
geneva,0.09,flatwise,0.0,31.9,15.34,0.03,26.49,7.49,19.0,11,30.24,40.88
geneva,0.09,flatwise,0.0,30.61,15.89,0.03,27.08,8.06,19.02,7,25.2,38.93
geneva,0.09,flatwise,0.0,29.05,14.69,0.03,27.89,6.87,21.02,3,24.08,36.31
geneva,0.09,flatwise,0.0,36.62,15.37,0.04,24.3,7.54,16.76,1,25.99,47.21
geneva,0.09,flatwise,0.0,33.78,15.05,0.03,25.75,7.24,18.51,4,23.49,42.76
geneva,0.09,flatwise,0.0,33.34,16.05,0.03,25.84,8.22,17.62,4,25.32,42.38
geneva,0.09,flatwise,0.0,26.9,15.55,0.03,28.88,7.7,21.18,6,27.89,33.32
geneva,0.09,flatwise,0.0,27.64,15.78,0.03,28.54,7.93,20.61,1,26.99,34.4
geneva,0.09,flatwise,0.0,32.26,14.48,0.03,26.32,6.58,19.74,1,22.87,41.06
geneva,0.09,flatwise,0.0,40.29,15.26,0.04,22.52,7.46,15.06,0,26.9,52.34
geneva,0.09,flatwise,0.0,38.59,13.84,0.04,23.41,6.1,17.31,2,20.74,49.81
