net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
9.38,514976,541786,517067,129.27,3.27,7.81,46.7,26.15,173,181,286,618,56.14,1873,186,204,479,1528
9.4,517067,544239,516848,129.21,3.3,7.82,46.72,26.14,171,179,328,584,56.2,1867,186,205,480,1516
9.4,516848,544510,516330,129.08,3.31,7.83,46.64,26.1,184,173,319,611,56.38,1859,186,209,459,1509
9.33,516330,544252,513281,128.32,3.31,7.85,46.17,26.02,195,177,340,625,56.29,1847,170,224,422,1501
9.34,513281,540802,514575,128.64,3.29,7.84,46.45,26.32,185,168,349,614,56.32,1848,169,269,398,1513
9.41,514575,541837,515459,128.86,3.29,7.83,46.77,26.28,189,177,328,567,56.2,1850,168,271,450,1516
9.33,515459,542574,519119,129.78,3.27,7.81,46.95,26.18,183,194,319,534,56.17,1863,169,271,467,1533
9.45,519119,545772,517010,129.25,3.32,7.85,46.98,26.18,180,216,303,543,56.34,1854,163,273,468,1525
9.4,517010,543875,516226,129.06,3.31,7.83,46.48,26.07,176,226,339,567,56.39,1857,169,262,404,1513
9.33,516226,543887,514797,128.7,3.32,7.85,46.11,26.0,178,227,349,593,56.32,1846,185,252,370,1503
9.4,514797,542413,514563,128.64,3.31,7.85,46.14,26.17,175,224,348,609,56.38,1835,201,246,362,1514
9.28,514563,541280,514224,128.56,3.29,7.81,46.21,26.15,178,204,292,669,56.35,1840,201,258,358,1517
9.34,514224,540971,516213,129.05,3.29,7.82,46.39,26.14,182,213,271,652,56.34,1850,183,263,386,1530
