net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
29.2,809765,822978,813688,203.42,5.61,10.15,54.58,26.31,149,113,138,121,58.81,3125,117,148,89,2981
29.48,813688,827077,816715,204.18,5.66,10.19,54.79,26.82,155,120,120,112,58.85,3131,116,152,94,2998
29.56,816715,829705,814509,203.63,5.64,10.17,54.85,26.16,139,123,114,97,58.7,3134,131,144,118,2987
28.99,814509,827902,807887,201.97,5.63,10.17,54.27,26.26,179,149,94,127,58.73,3086,131,124,110,2925
29.04,807887,822719,801556,200.39,5.67,10.2,54.12,26.43,161,158,99,164,58.84,3066,129,123,100,2917
29.29,801556,815816,814106,203.53,5.68,10.22,54.52,26.41,151,142,104,126,58.75,3126,131,122,98,2978
29.91,814106,827876,817036,204.26,5.76,10.3,54.77,26.55,152,128,100,110,58.7,3132,159,97,122,2984
29.14,817036,830706,808303,202.08,5.68,10.22,54.42,26.46,188,130,99,110,58.66,3092,150,92,139,2915
29.09,808303,824266,816684,204.17,5.68,10.21,54.59,26.36,177,114,102,110,58.64,3141,146,102,108,2936
29.73,816684,833757,820884,205.22,5.68,10.21,54.6,26.4,202,100,108,103,58.75,3147,132,101,107,2967
29.27,820884,836597,817046,204.26,5.65,10.19,54.4,26.42,205,104,122,110,58.77,3127,132,100,100,2953
29.91,817046,833001,822281,205.57,5.64,10.18,54.56,26.3,197,102,99,117,58.74,3156,123,98,108,2981
29.56,822281,837440,817180,204.29,5.57,10.1,54.48,26.44,170,103,106,154,58.79,3147,123,106,91,2973
29.36,817180,832029,807849,201.96,5.61,10.14,54.31,26.19,175,108,96,166,58.75,3096,128,116,115,2934
29.19,807849,822781,810569,202.64,5.57,10.1,54.3,26.48,184,107,101,161,58.76,3111,118,101,117,2947
29.04,810569,825235,813530,203.38,5.54,10.07,54.58,26.58,177,108,92,134,58.68,3132,116,97,144,2945
29.33,813530,829183,818538,204.63,5.55,10.08,54.73,26.53,171,104,105,103,58.6,3153,117,95,152,2963
29.42,818538,834242,823161,205.79,5.5,10.03,55.12,26.28,152,90,107,97,58.74,3182,119,108,145,3009
29.59,823161,837571,822455,205.61,5.56,10.09,54.82,26.23,154,103,130,115,58.93,3168,112,92,126,3018
29.34,822455,835908,819809,204.95,5.5,10.03,54.6,26.17,157,103,147,119,58.91,3145,125,112,92,3019
29.22,819809,832208,811954,202.99,5.55,10.08,54.32,26.48,163,112,136,146,58.82,3119,125,112,87,2966
28.78,811954,825969,813397,203.35,5.5,10.03,54.55,26.45,163,104,114,127,58.63,3132,133,122,105,2946
29.36,813397,829108,812925,203.23,5.6,10.13,54.5,26.39,169,107,79,163,58.69,3125,112,131,114,2960
29.77,812925,827324,822337,205.58,5.58,10.1,55.07,26.35,150,98,80,134,58.82,3170,116,121,131,3020
29.26,822337,835744,815454,203.86,5.64,10.17,54.5,26.2,164,109,106,161,58.91,3132,117,100,111,2988
