net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
5.56,263469,304168,294920,73.73,3.26,7.9,41.36,26.58,424,451,494,387,52.93,694,490,543,517,302
6.18,294920,335720,326811,81.7,3.29,7.93,42.33,26.37,430,441,489,286,53.49,818,476,564,496,450
