net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
29.0,818312,833301,814748,203.69,7.13,7.81,54.34,26.35,163,118,120,155,58.86,3139,104,105,96,2967
29.02,814748,829567,806994,201.75,7.23,7.84,53.99,26.27,170,113,120,177,58.69,3111,113,114,82,2916
29.01,806994,822982,812190,203.05,7.18,7.82,54.41,26.61,146,121,93,169,58.65,3129,137,110,95,2946
29.16,812190,827393,809898,202.47,7.24,7.82,54.63,26.66,156,112,88,144,58.62,3115,136,118,131,2941
29.59,809898,824986,814179,203.54,7.29,7.85,54.87,26.32,160,98,86,130,58.7,3126,132,114,154,2982
29.57,814179,827719,817087,204.27,7.25,7.86,54.85,26.3,162,107,101,118,58.82,3134,131,104,143,2997
29.42,817087,829994,814972,203.74,7.24,7.83,54.58,26.37,161,115,128,125,58.88,3133,112,97,129,2987
28.97,814972,828367,815661,203.92,7.16,7.84,54.58,26.31,149,123,132,111,58.75,3141,119,107,118,2973
29.45,815661,830262,818156,204.54,7.29,7.88,54.64,26.44,153,122,128,114,58.83,3148,112,102,121,3003
29.27,818156,831340,816389,204.1,7.29,7.86,54.61,26.23,144,109,114,152,58.85,3142,113,113,113,3007
29.45,816389,828966,813790,203.45,7.31,7.89,54.5,26.21,144,109,110,173,58.88,3128,113,118,105,3005
29.07,813790,825757,811724,202.93,7.23,7.84,54.5,26.62,139,104,119,175,58.83,3131,120,114,98,2975
28.75,811724,825309,803305,200.83,7.21,7.88,54.27,26.31,156,122,109,164,58.73,3079,126,111,133,2935
28.98,803305,817011,809856,202.46,7.18,7.85,54.55,26.44,160,126,93,135,58.7,3102,123,103,158,2971
28.72,809856,822612,799452,199.86,7.18,7.81,54.37,26.64,178,115,93,151,58.67,3062,132,109,160,2896
28.46,799452,814454,799320,199.83,7.18,7.84,54.26,26.06,164,103,121,149,58.64,3064,142,104,153,2898
28.78,799320,814259,810836,202.71,7.15,7.82,54.41,26.29,158,100,137,145,58.8,3116,132,92,120,2959
28.92,810836,824760,808031,202.01,7.22,7.84,54.47,26.58,163,109,143,123,58.8,3102,124,104,132,2946
28.78,808031,822307,812121,203.03,7.12,7.82,54.49,26.35,173,105,132,103,58.63,3120,112,128,127,2952
29.25,812121,826973,811503,202.88,7.27,7.85,54.54,26.28,172,108,109,130,58.75,3115,109,127,130,2958
28.73,811503,825517,814658,203.66,7.15,7.83,54.68,26.39,153,114,121,131,58.89,3129,114,126,112,2990
29.1,814658,827805,815864,203.97,7.21,7.84,54.57,26.35,151,124,117,132,58.82,3135,121,119,101,2993
29.04,815864,829048,813073,203.27,7.2,7.87,54.47,26.17,140,119,125,148,58.81,3135,110,102,121,2986
29.55,813073,826360,820288,205.07,7.21,7.84,54.87,26.63,143,120,101,129,58.84,3155,114,111,127,3016
29.1,820288,833225,815280,203.82,7.18,7.86,54.67,26.5,160,113,94,140,58.76,3132,129,105,127,2986
29.17,815280,828700,815189,203.8,7.16,7.85,54.71,26.02,155,102,112,122,58.73,3131,128,118,132,2987
28.61,815189,828483,809458,202.36,7.16,7.88,54.32,26.35,167,106,114,181,58.95,3098,128,100,106,2969
29.06,809458,822469,810236,202.56,7.23,7.85,54.27,26.33,172,111,116,161,58.82,3111,124,93,112,2952
29.21,810236,824538,817482,204.37,7.2,7.83,54.47,26.54,162,109,107,155,58.76,3145,108,108,106,2995
28.85,817482,831095,807082,201.77,7.19,7.88,54.48,26.26,173,93,97,157,58.69,3099,114,111,156,2941
29.16,807082,821345,813441,203.36,7.18,7.88,54.62,26.47,158,93,111,152,58.77,3132,111,106,137,2975
29.11,813441,827087,812290,203.07,7.25,7.9,54.69,26.38,140,106,99,167,58.84,3131,119,105,133,2984
29.16,812290,825441,812897,203.22,7.25,7.92,54.37,26.05,154,106,140,138,58.77,3133,97,93,139,2981
29.24,812897,826389,820527,205.13,7.23,7.88,54.8,26.63,151,98,121,137,58.89,3163,97,106,127,3020
29.71,820527,833438,825287,206.32,7.27,7.89,55.1,26.73,142,102,124,102,58.87,3178,107,101,144,3052
29.48,825287,837091,825003,206.25,7.19,7.87,55.1,26.08,119,90,134,108,58.79,3195,99,138,117,3062
29.77,825003,836818,825914,206.48,7.26,7.88,55.16,26.27,116,111,115,124,58.97,3195,93,119,127,3062
29.75,825914,837785,825369,206.34,7.22,7.88,55.0,26.4,118,116,130,127,59.0,3184,106,120,99,3069
29.41,825369,836451,824407,206.1,7.16,7.87,54.91,26.33,126,144,100,119,58.89,3176,99,132,104,3064
29.27,824407,835591,820015,205.0,7.22,7.88,54.84,26.59,150,125,110,108,58.81,3152,118,118,119,3012
29.53,820015,833180,826124,206.53,7.23,7.89,55.19,26.43,142,117,92,98,58.83,3184,121,125,121,3037
30.0,826124,839321,830762,207.69,7.28,7.9,55.14,26.36,137,130,103,93,58.91,3191,141,92,113,3071
29.84,830762,842563,825813,206.45,7.26,7.84,54.99,26.13,140,115,115,110,58.92,3179,131,111,99,3047
29.38,825813,838439,824083,206.02,7.15,7.89,54.68,26.41,161,127,122,113,58.93,3164,127,96,90,3025
