city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.12,swp,0.0,595.53,21.05,0.6,16.91,13.34,3.57,0,52.54,72.75
geneva,0.12,swp,0.0,489.66,21.45,0.49,17.52,13.8,3.72,0,53.77,69.81
geneva,0.12,swp,0.0,459.08,20.68,0.46,17.11,13.04,4.07,0,54.61,69.94
geneva,0.12,swp,0.0,502.73,18.6,0.5,16.43,10.91,5.52,0,52.03,72.67
geneva,0.12,swp,0.0,542.08,17.54,0.54,15.72,9.92,5.8,0,87.69,75.7
geneva,0.12,swp,0.0,492.54,20.68,0.49,16.66,13.0,3.66,0,122.81,70.16
geneva,0.12,swp,0.0,515.56,20.12,0.52,16.59,12.37,4.22,0,122.86,69.66
geneva,0.12,swp,0.0,560.06,19.65,0.56,16.21,11.95,4.26,0,129.06,71.8
geneva,0.12,swp,0.0,553.37,20.26,0.55,16.14,12.57,3.57,0,127.86,72.15
geneva,0.12,swp,0.0,493.81,20.59,0.49,16.65,12.91,3.74,0,120.89,69.06
geneva,0.12,swp,0.0,498.82,20.88,0.5,16.8,13.25,3.55,0,112.49,69.42
geneva,0.12,swp,0.0,526.15,19.99,0.53,16.36,12.39,3.97,0,132.55,71.51
geneva,0.12,swp,0.0,425.42,23.11,0.43,18.84,15.41,3.43,0,124.59,64.27
geneva,0.12,swp,0.0,418.49,20.17,0.42,17.81,12.5,5.31,0,117.74,67.48
geneva,0.12,swp,0.0,412.16,20.63,0.41,16.91,12.88,4.03,0,122.78,70.05
geneva,0.12,swp,0.0,460.11,17.96,0.46,16.4,10.22,6.18,0,124.77,74.39
geneva,0.12,swp,0.0,478.38,19.05,0.48,15.85,11.37,4.48,0,125.62,74.21
geneva,0.12,swp,0.0,480.08,20.18,0.48,16.8,12.53,4.27,0,121.69,68.67
geneva,0.12,swp,0.0,457.25,21.49,0.46,17.7,13.79,3.91,0,118.95,66.76
geneva,0.12,swp,0.0,432.09,20.9,0.43,17.33,13.16,4.17,0,124.07,67.33
geneva,0.12,swp,4.82,489.59,17.92,0.49,16.1,10.26,5.84,0,129.89,71.84
geneva,0.12,swp,0.0,453.74,20.62,0.45,16.56,12.87,3.69,0,126.67,70.88
geneva,0.12,swp,0.0,506.3,18.91,0.51,15.31,11.19,4.12,0,124.54,74.94
geneva,0.12,swp,0.0,492.49,19.92,0.49,16.37,12.22,4.15,0,130.56,69.28
geneva,0.12,swp,0.0,510.25,20.03,0.51,16.34,12.34,4.0,0,125.49,69.68
geneva,0.12,swp,0.0,525.11,20.07,0.53,16.22,12.42,3.8,0,120.2,70.53
