city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
zurich,0.08,flatwise,0.0,31.08,14.48,0.03,26.83,6.97,19.86,2,0.57,39.58,926,9,0,0,64,1,0,0,0
zurich,0.08,flatwise,0.0,30.62,14.06,0.03,27.05,6.42,20.63,2,0.54,38.93,926,6,0,0,67,1,0,0,0
zurich,0.08,flatwise,0.0,36.82,14.25,0.04,24.12,6.72,17.4,2,0.54,47.46,826,18,0,0,155,1,0,0,0
zurich,0.08,flatwise,0.0,41.99,14.32,0.04,22.07,6.81,15.26,3,0.57,54.0,693,30,0,0,275,2,0,0,0
zurich,0.08,flatwise,0.0,43.56,13.52,0.04,21.51,5.99,15.52,2,0.61,55.86,563,29,0,0,404,4,0,0,0
zurich,0.08,flatwise,0.0,29.71,14.13,0.03,27.64,6.61,21.03,7,0.78,37.4,869,10,0,0,121,0,0,0,0
zurich,0.08,flatwise,0.0,30.83,14.0,0.03,27.07,6.41,20.66,4,0.57,38.92,876,11,0,0,112,1,0,0,0
zurich,0.08,flatwise,0.0,29.75,14.33,0.03,27.67,6.77,20.9,3,0.6,36.84,922,15,0,0,62,1,0,0,0
zurich,0.08,flatwise,0.0,34.52,14.72,0.03,25.38,7.09,18.29,2,0.63,43.73,876,15,0,0,106,3,0,0,0
zurich,0.08,flatwise,0.0,34.01,14.11,0.03,25.6,6.5,19.1,2,0.54,43.06,870,16,0,0,112,2,0,0,0
zurich,0.08,flatwise,0.0,41.23,13.67,0.04,22.46,6.03,16.43,1,0.49,52.64,719,27,0,0,250,4,0,0,0
zurich,0.08,flatwise,0.0,33.43,13.69,0.03,25.96,6.18,19.78,5,0.67,42.41,815,13,0,0,170,2,0,0,0
zurich,0.08,flatwise,0.0,35.04,13.9,0.04,25.32,6.41,18.91,2,0.58,44.46,812,11,0,0,174,3,0,0,0
zurich,0.08,flatwise,0.0,30.75,14.3,0.03,27.28,6.79,20.49,5,0.66,38.06,898,12,0,0,87,3,0,0,0
zurich,0.08,flatwise,0.0,38.88,14.63,0.04,23.66,7.1,16.56,0,0.57,48.84,799,28,0,0,169,4,0,0,0
