city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.18,flatwise,1.37,1703.41,11.29,1.7,11.08,3.68,7.4,0,7.06,113.75
bern,0.18,flatwise,8.22,1881.4,12.11,1.88,10.64,4.56,6.08,0,8.0,119.39
bern,0.18,flatwise,5.48,2054.08,12.09,2.05,10.08,4.43,5.65,0,6.98,125.1
bern,0.18,flatwise,6.85,2221.46,11.69,2.22,9.78,4.1,5.68,0,6.32,130.19
bern,0.18,flatwise,8.22,2389.78,11.66,2.39,9.24,4.06,5.18,0,6.08,136.89
bern,0.18,flatwise,13.7,2558.37,11.44,2.56,8.54,3.92,4.62,0,6.63,143.71
bern,0.18,flatwise,13.7,2722.28,11.84,2.72,8.18,4.25,3.93,0,7.59,149.68
bern,0.18,flatwise,12.33,2627.38,12.11,2.63,8.74,4.51,4.23,2,11.08,145.69
bern,0.18,flatwise,15.07,2792.69,11.85,2.79,8.25,4.22,4.03,0,7.68,151.34
bern,0.18,flatwise,13.7,2958.31,11.89,2.96,7.96,4.32,3.64,0,9.58,156.55
bern,0.18,flatwise,17.81,3117.88,11.95,3.12,7.32,4.31,3.01,0,8.54,162.59
bern,0.18,flatwise,15.07,3263.84,11.82,3.26,6.77,4.19,2.58,0,7.96,168.29
bern,0.18,flatwise,8.22,1922.3,11.86,1.92,11.02,4.21,6.81,14,9.67,113.33
bern,0.18,flatwise,9.59,2188.04,12.37,2.19,10.12,4.72,5.4,0,7.9,124.18
bern,0.18,flatwise,15.07,2455.73,12.12,2.46,9.41,4.57,4.84,0,7.5,134.65
bern,0.18,flatwise,13.7,2732.92,11.86,2.73,8.38,4.25,4.13,0,7.13,146.63
bern,0.18,flatwise,15.07,3018.5,11.72,3.02,7.41,4.11,3.3,0,6.36,156.65
bern,0.18,flatwise,13.7,3293.38,11.82,3.29,6.67,4.24,2.43,0,8.14,169.55
bern,0.18,flatwise,16.44,3144.18,11.89,3.14,7.41,4.32,3.09,2,11.67,163.75
bern,0.18,flatwise,20.55,3224.55,11.71,3.22,7.22,4.12,3.1,0,11.01,167.23
bern,0.18,flatwise,16.44,3098.66,11.73,3.1,7.9,4.09,3.81,1,11.01,162.63
bern,0.18,flatwise,9.59,3208.9,11.09,3.21,7.36,3.37,3.99,0,6.44,167.82
bern,0.18,flatwise,16.44,3300.89,11.65,3.3,6.88,3.93,2.95,0,8.66,172.11
bern,0.18,flatwise,21.92,3380.48,11.55,3.38,6.62,3.9,2.72,0,7.16,175.26
