city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.18,wsp,6.85,1703.41,9.54,1.7,11.08,1.89,9.19,0,48.9,113.75
bern,0.18,wsp,9.59,1881.4,9.44,1.88,10.64,1.83,8.81,0,41.6,119.39
bern,0.18,wsp,8.22,2054.08,9.53,2.05,10.08,1.9,8.18,0,49.56,125.1
bern,0.18,wsp,5.48,1184.46,9.95,1.18,12.67,2.28,10.39,55,54.2,92.86
bern,0.18,wsp,5.48,1372.96,9.48,1.37,12.75,1.81,10.94,0,53.07,97.93
bern,0.18,wsp,13.7,1568.91,9.87,1.57,11.69,2.23,9.46,0,48.93,106.53
bern,0.18,wsp,6.85,1767.24,9.73,1.77,10.92,2.11,8.81,0,51.92,114.5
bern,0.18,wsp,9.59,1971.87,9.47,1.97,10.39,1.82,8.57,0,51.37,122.33
bern,0.18,wsp,9.59,2193.13,9.77,2.19,9.58,2.06,7.52,0,47.54,129.51
bern,0.18,wsp,16.44,2417.9,9.71,2.42,9.43,1.98,7.45,0,48.45,136.46
bern,0.18,wsp,13.7,2558.51,9.88,2.56,9.09,2.25,6.84,16,51.99,142.12
bern,0.18,wsp,21.92,2720.13,9.77,2.72,8.34,2.11,6.23,0,54.23,149.25
bern,0.18,wsp,20.55,2865.62,9.76,2.87,7.89,2.14,5.75,0,57.16,155.06
bern,0.18,wsp,21.92,2955.35,10.1,2.96,7.86,2.42,5.44,19,51.73,157.69
bern,0.18,wsp,20.55,3097.58,9.95,3.1,7.48,2.36,5.12,0,51.55,163.2
bern,0.18,wsp,21.92,3221.17,9.83,3.22,7.34,2.24,5.1,0,55.58,167.0
bern,0.18,wsp,19.18,3343.49,10.03,3.34,6.92,2.32,4.6,0,53.39,171.32
bern,0.18,wsp,9.59,729.24,10.23,0.73,24.72,2.59,22.13,77,61.95,60.17
bern,0.18,wsp,4.11,783.67,9.52,0.78,21.49,1.92,19.57,0,52.01,71.58
bern,0.18,wsp,2.74,818.56,9.18,0.82,18.38,1.55,16.83,0,52.51,81.88
bern,0.18,wsp,5.48,847.24,9.36,0.85,15.24,1.71,13.53,0,53.63,92.05
bern,0.18,wsp,4.11,869.24,9.5,0.87,15.23,1.82,13.41,0,52.39,101.82
bern,0.18,wsp,4.11,888.66,9.25,0.89,9.17,1.62,7.55,0,50.17,111.37
bern,0.18,wsp,2.74,908.83,9.37,0.91,16.7,1.64,15.06,0,50.97,66.53
bern,0.18,wsp,2.74,956.36,9.36,0.96,15.12,1.74,13.38,0,45.87,76.23
bern,0.18,wsp,4.11,1003.09,9.32,1.0,13.57,1.65,11.92,0,51.14,85.76
bern,0.18,wsp,4.11,1050.97,9.25,1.05,11.98,1.64,10.34,0,46.52,95.44
bern,0.18,wsp,6.85,1094.85,9.38,1.09,10.45,1.67,8.78,0,58.42,104.85
bern,0.18,wsp,2.74,1138.71,9.51,1.14,8.94,1.88,7.06,0,53.43,114.22
bern,0.18,wsp,5.48,1157.08,9.28,1.16,16.5,1.64,14.86,0,54.54,91.82
bern,0.18,wsp,6.85,1377.98,10.03,1.38,14.42,2.36,12.06,22,54.26,98.17
bern,0.18,wsp,5.48,1655.19,9.85,1.66,12.21,2.2,10.01,0,53.74,107.88
bern,0.18,wsp,10.96,1926.21,9.49,1.93,9.94,1.89,8.05,0,54.63,117.43
bern,0.18,wsp,15.07,2166.95,9.71,2.17,7.74,2.05,5.69,0,52.96,126.67
bern,0.18,wsp,12.33,2406.75,9.82,2.41,5.54,2.19,3.35,0,49.74,135.9
bern,0.18,wsp,17.81,2647.92,9.92,2.65,8.87,2.31,6.56,0,53.12,136.76
bern,0.18,wsp,19.18,2905.42,9.85,2.91,8.31,2.25,6.06,0,52.26,147.85
bern,0.18,wsp,9.59,2382.52,10.36,2.38,6.75,2.7,4.05,22,43.48,132.11
bern,0.18,wsp,20.55,2691.75,9.86,2.69,8.75,2.21,6.54,0,41.26,138.93
bern,0.18,wsp,21.92,3016.36,9.93,3.02,7.99,2.31,5.68,0,35.68,151.69
bern,0.18,wsp,4.11,3022.42,10.13,3.02,7.97,2.5,5.47,9,46.69,152.1
bern,0.18,wsp,23.29,3342.49,10.02,3.34,7.03,2.31,4.72,0,46.37,168.06
bern,0.18,wsp,21.92,3546.24,10.12,3.55,6.4,2.47,3.93,4,46.59,177.47
bern,0.18,wsp,23.29,3757.94,10.07,3.76,5.79,2.41,3.38,0,48.77,185.35
bern,0.18,wsp,9.59,723.28,10.36,0.72,24.78,2.7,22.08,108,52.46,60.21
bern,0.18,wsp,1.37,774.56,9.33,0.77,21.57,1.71,19.86,0,51.23,71.65
bern,0.18,wsp,2.74,803.14,9.22,0.8,18.42,1.61,16.81,0,48.65,81.61
bern,0.18,wsp,2.74,831.57,9.37,0.83,15.29,1.71,13.58,0,46.8,91.51
bern,0.18,wsp,2.74,850.46,9.28,0.85,15.25,1.61,13.64,0,43.14,100.99
bern,0.18,wsp,1.37,870.51,9.38,0.87,9.14,1.67,7.47,0,47.13,110.57
bern,0.18,wsp,2.74,890.44,9.22,0.89,16.73,1.65,15.08,0,47.76,65.67
bern,0.18,wsp,2.74,941.31,9.48,0.94,15.14,1.85,13.29,0,50.18,75.54
bern,0.18,wsp,5.48,991.02,9.1,0.99,13.57,1.59,11.98,0,44.88,85.33
bern,0.18,wsp,4.11,1041.75,9.33,1.04,12.03,1.65,10.38,0,42.49,95.03
bern,0.18,wsp,1.37,1090.75,9.35,1.09,10.49,1.61,8.88,0,43.02,104.61
bern,0.18,wsp,1.37,1139.18,9.25,1.14,8.96,1.64,7.32,0,41.03,114.19
bern,0.18,wsp,2.74,1159.8,9.33,1.16,16.5,1.67,14.83,0,43.94,91.91
bern,0.18,wsp,9.59,1462.76,9.4,1.46,14.18,1.76,12.42,0,44.73,101.41
bern,0.18,wsp,6.85,1737.72,9.74,1.74,11.87,2.05,9.82,0,46.03,110.81
bern,0.18,wsp,8.22,2012.53,9.65,2.01,9.59,1.97,7.62,0,44.84,120.17
bern,0.18,wsp,12.33,2239.86,9.97,2.24,7.42,2.35,5.07,5,44.78,128.8
