city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.18,swp,0.0,69.78,12.97,0.07,23.66,5.47,18.19,1,45.81,49.23
bern,0.18,swp,0.0,54.66,14.17,0.05,26.91,6.58,20.33,5,48.63,39.23
bern,0.18,swp,0.0,58.3,13.64,0.06,26.26,5.99,20.27,1,51.36,41.28
bern,0.18,swp,0.0,29.46,14.23,0.03,29.27,6.66,22.61,26,59.03,32.27
bern,0.18,swp,0.0,30.4,15.09,0.03,28.42,7.46,20.96,2,57.99,34.82
bern,0.18,swp,0.0,39.55,13.68,0.04,24.47,6.14,18.33,0,53.85,46.82
bern,0.18,swp,0.0,43.85,13.66,0.04,22.7,6.07,16.63,1,55.2,52.09
bern,0.18,swp,0.0,31.12,15.78,0.03,27.41,8.15,19.26,5,51.16,38.02
bern,0.18,swp,0.0,34.55,13.27,0.03,25.95,5.67,20.28,1,49.58,42.71
bern,0.18,swp,0.0,37.37,13.1,0.04,24.83,5.41,19.42,1,54.6,46.13
bern,0.18,swp,0.0,35.61,13.59,0.04,25.71,6.07,19.64,7,58.0,43.06
bern,0.18,swp,0.0,35.85,13.45,0.04,25.55,5.9,19.65,6,58.38,43.24
bern,0.18,swp,0.0,32.67,13.28,0.03,26.86,5.77,21.09,3,56.24,39.4
bern,0.18,swp,0.0,38.01,13.69,0.04,24.65,6.17,18.48,3,57.72,45.68
bern,0.18,swp,0.0,39.49,13.9,0.04,24.14,6.31,17.83,3,56.2,47.15
bern,0.18,swp,0.0,33.31,14.11,0.03,26.94,6.51,20.43,4,57.39,39.03
bern,0.18,swp,0.0,33.42,13.81,0.03,26.42,6.1,20.32,3,59.01,40.77
bern,0.18,swp,0.0,34.98,13.42,0.03,25.62,5.8,19.82,2,56.87,43.07
bern,0.18,swp,0.0,33.85,13.59,0.03,26.27,5.91,20.36,5,58.76,40.99
bern,0.18,swp,0.0,38.05,13.35,0.04,24.79,5.71,19.08,3,60.22,45.74
bern,0.18,swp,0.0,34.86,13.69,0.03,26.0,6.02,19.98,3,52.49,42.04
bern,0.18,swp,0.0,33.16,13.47,0.03,26.56,5.78,20.78,2,55.23,40.23
bern,0.18,swp,0.0,34.12,12.94,0.03,26.0,5.21,20.79,4,47.18,41.95
bern,0.18,swp,0.0,36.05,13.5,0.04,25.17,5.9,19.27,2,51.77,44.51
bern,0.18,swp,0.0,41.28,13.84,0.04,23.14,6.2,16.94,2,50.74,50.7
bern,0.18,swp,0.0,48.72,13.72,0.05,20.47,6.08,14.39,1,54.32,58.76
bern,0.18,swp,0.0,35.06,13.28,0.04,25.48,5.66,19.82,11,53.91,43.48
bern,0.18,swp,0.0,32.99,12.93,0.03,26.23,5.43,20.8,5,56.0,41.41
bern,0.18,swp,0.0,29.6,16.13,0.03,27.95,8.55,19.4,20,54.92,36.12
bern,0.18,swp,0.0,30.42,13.69,0.03,27.42,6.08,21.34,3,53.15,37.42
bern,0.18,swp,0.0,37.34,13.44,0.04,24.32,5.86,18.46,2,53.09,46.78
bern,0.18,swp,0.0,44.05,13.34,0.04,21.46,5.73,15.73,2,49.42,55.45
bern,0.18,swp,0.0,43.03,13.72,0.04,22.24,6.1,16.14,4,45.63,53.29
bern,0.18,swp,0.0,26.86,14.16,0.03,28.98,6.5,22.48,15,48.09,33.22
bern,0.18,swp,0.0,28.35,13.39,0.03,28.0,5.7,22.3,4,47.35,36.11
bern,0.18,swp,0.0,35.64,13.62,0.04,24.43,5.99,18.44,1,45.74,46.5
bern,0.18,swp,0.0,35.0,13.43,0.04,24.87,5.72,19.15,3,44.13,45.24
bern,0.18,swp,0.0,36.65,14.51,0.04,24.12,6.8,17.32,2,40.9,48.17
bern,0.18,swp,0.0,33.82,13.18,0.03,25.53,5.54,19.99,5,39.49,43.81
bern,0.18,swp,0.0,34.9,14.67,0.03,25.07,6.99,18.08,3,40.9,45.0
bern,0.18,swp,0.0,33.16,13.59,0.03,26.1,5.89,20.21,3,41.21,41.51
bern,0.18,swp,0.0,33.5,13.45,0.03,25.98,5.81,20.17,7,42.03,41.86
bern,0.18,swp,0.0,35.58,13.12,0.04,25.04,5.44,19.6,3,47.59,44.84
bern,0.18,swp,0.0,34.28,13.57,0.03,25.68,5.86,19.82,4,45.71,42.79
bern,0.18,swp,0.0,38.04,13.79,0.04,24.26,6.16,18.1,3,44.44,46.99
bern,0.18,swp,0.0,40.0,12.65,0.04,23.64,5.0,18.64,5,45.16,49.28
bern,0.18,swp,0.0,35.08,13.52,0.04,25.8,5.9,19.9,6,47.68,42.35
bern,0.18,swp,0.0,30.09,13.15,0.03,27.72,5.6,22.12,6,46.59,36.82
bern,0.18,swp,0.0,32.67,13.09,0.03,26.5,5.46,21.04,2,45.51,40.5
bern,0.18,swp,0.0,40.81,13.99,0.04,22.86,6.4,16.46,0,45.25,51.16
bern,0.18,swp,0.0,49.95,13.47,0.05,19.52,5.79,13.73,0,45.14,60.73
bern,0.18,swp,0.0,52.96,14.08,0.05,19.43,6.43,13.0,5,43.9,62.92
bern,0.18,swp,0.0,45.68,13.16,0.05,22.16,5.51,16.65,9,42.25,53.76
bern,0.18,swp,0.0,42.12,12.79,0.04,24.18,5.17,19.01,8,42.33,45.34
bern,0.18,swp,0.0,43.4,13.83,0.04,24.18,6.12,18.06,7,41.03,45.41
bern,0.18,swp,0.0,41.26,13.55,0.04,24.78,5.92,18.86,2,41.3,43.99
bern,0.18,swp,0.0,40.77,13.44,0.04,25.12,5.87,19.25,6,42.93,43.12
bern,0.18,swp,0.0,43.58,13.15,0.04,24.25,5.48,18.77,1,43.5,45.68
bern,0.18,swp,0.0,27.88,13.94,0.03,28.74,6.31,22.43,10,43.73,33.44
bern,0.18,swp,0.0,28.57,14.0,0.03,28.4,6.33,22.07,2,43.72,34.45
bern,0.18,swp,0.0,29.06,14.16,0.03,28.13,6.56,21.57,2,40.45,35.24
bern,0.18,swp,0.0,37.56,14.1,0.04,24.23,6.37,17.86,0,39.65,46.96
bern,0.18,swp,0.0,32.61,13.38,0.03,26.58,5.73,20.85,2,39.03,39.85
bern,0.18,swp,0.0,40.05,13.75,0.04,23.38,6.06,17.32,2,40.04,49.7
bern,0.18,swp,0.0,45.72,12.63,0.05,21.21,4.95,16.26,2,40.14,57.01
bern,0.18,swp,0.0,35.79,13.9,0.04,25.28,6.24,19.04,6,35.14,43.91
bern,0.18,swp,0.0,44.17,12.64,0.04,22.26,5.0,17.26,0,39.31,52.63
bern,0.18,swp,0.0,30.96,15.82,0.03,27.51,8.12,19.39,41,37.57,37.55
bern,0.18,swp,0.0,30.31,13.49,0.03,27.61,5.88,21.73,7,36.48,37.14
bern,0.18,swp,0.0,34.65,13.94,0.03,25.67,6.38,19.29,2,34.47,43.01
bern,0.18,swp,0.0,41.29,14.54,0.04,22.78,6.93,15.85,2,35.44,51.31
bern,0.18,swp,0.0,38.29,12.65,0.04,24.17,5.04,19.13,5,39.22,47.41
bern,0.18,swp,0.0,39.19,13.41,0.04,23.79,5.82,17.97,2,39.54,48.63
bern,0.18,swp,0.0,38.81,12.65,0.04,24.18,5.07,19.11,4,38.17,47.42
bern,0.18,swp,0.0,31.06,13.78,0.03,27.24,6.17,21.07,7,43.29,38.29
