city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.12,swp,2.36,804.14,16.48,0.8,14.69,9.02,5.67,38,40.34,80.97
bern,0.12,swp,3.54,758.69,17.77,0.76,14.69,10.3,4.39,0,38.47,79.31
bern,0.12,swp,3.54,812.43,17.03,0.81,13.99,9.52,4.47,0,36.98,81.29
bern,0.12,swp,3.54,889.36,16.06,0.89,13.32,8.63,4.69,0,33.46,83.91
bern,0.12,swp,2.36,855.53,17.64,0.86,13.99,10.11,3.88,0,37.37,82.71
bern,0.12,swp,2.36,882.76,16.83,0.88,13.26,9.29,3.97,0,36.36,84.95
bern,0.12,swp,4.72,797.84,17.12,0.8,14.32,9.62,4.7,10,41.15,80.38
bern,0.12,swp,4.72,764.93,17.92,0.76,14.28,10.37,3.91,0,35.04,79.86
bern,0.12,swp,9.44,800.79,17.57,0.8,14.19,10.05,4.14,1,36.65,79.15
bern,0.12,swp,2.36,750.88,18.33,0.75,14.55,10.77,3.78,0,38.31,77.52
bern,0.12,swp,9.44,787.79,17.07,0.79,13.91,9.49,4.42,3,37.51,80.08
bern,0.12,swp,5.9,784.72,16.39,0.78,13.65,8.83,4.82,6,39.8,81.34
bern,0.12,swp,4.72,801.77,17.24,0.8,13.39,9.65,3.74,0,41.36,82.11
bern,0.12,swp,2.36,787.37,17.87,0.79,14.2,10.28,3.92,0,39.77,79.18
bern,0.12,swp,8.26,802.94,17.33,0.8,14.13,9.79,4.34,2,35.24,79.82
bern,0.12,swp,3.54,803.68,17.9,0.8,14.16,10.33,3.83,0,36.43,80.39
bern,0.12,swp,2.36,852.25,16.99,0.85,13.48,9.48,4.0,0,35.95,83.55
bern,0.12,swp,4.72,841.64,16.18,0.84,14.29,8.66,5.63,19,33.88,80.46
bern,0.12,swp,3.54,865.46,16.9,0.87,14.0,9.37,4.63,0,34.63,81.15
bern,0.12,swp,2.36,760.35,18.78,0.76,15.07,11.22,3.85,0,38.64,77.78
bern,0.12,swp,3.54,821.2,16.6,0.82,13.8,9.09,4.71,0,40.43,82.45
bern,0.12,swp,4.72,772.63,17.8,0.77,14.4,10.24,4.16,0,38.59,82.74
bern,0.12,swp,2.36,756.9,17.83,0.76,13.29,10.32,2.97,0,38.15,84.29
