net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
5.49,262439,301652,291996,73.0,4.67,3.29,7.64,40.27,26.43,486,511,509,409,52.98,656,448,498,483,286
5.84,291996,332751,324768,81.19,4.31,3.28,7.64,41.59,26.55,458,465,532,300,53.34,803,481,494,467,419
6.27,324768,365770,353583,88.4,4.28,3.31,7.66,42.59,26.41,452,468,486,232,53.81,924,486,485,467,553
6.62,353583,393443,378925,94.73,4.24,3.31,7.66,42.94,26.23,433,468,448,272,54.33,1051,473,484,371,677
6.92,378925,418317,402977,100.74,4.22,3.3,7.66,43.07,26.24,461,452,422,311,54.84,1145,446,489,274,781
7.33,402977,442052,425453,106.36,4.25,3.34,7.7,43.11,26.23,459,451,421,313,54.89,1253,435,451,217,885
7.66,425453,464276,447038,111.76,4.23,3.3,7.66,43.69,26.4,462,444,340,328,54.91,1349,445,414,218,955
7.85,447038,486461,466048,116.51,4.21,3.29,7.64,44.59,26.43,427,459,239,346,55.15,1456,430,396,247,1050
8.12,466048,505535,486310,121.58,4.21,3.29,7.65,45.16,26.23,412,409,196,373,55.24,1570,424,371,245,1130
8.39,486310,526412,504293,126.07,4.21,3.28,7.64,45.54,26.24,405,386,199,391,55.72,1647,413,313,246,1242
8.67,504293,542210,522345,130.59,4.24,3.28,7.63,45.81,26.25,396,370,208,393,55.97,1733,425,227,248,1335
8.92,522345,559456,535130,133.78,4.27,3.31,7.67,45.84,26.12,404,337,206,415,56.03,1806,392,179,261,1393
9.09,535130,572191,548701,137.18,4.24,3.27,7.62,46.15,26.33,411,281,210,445,56.22,1876,345,176,256,1471
9.21,548701,584984,558903,139.73,4.24,3.28,7.63,46.74,26.46,402,213,202,454,56.19,1939,329,187,274,1518
9.33,558903,595077,567694,141.92,4.24,3.29,7.64,47.2,26.3,368,166,210,454,56.14,2006,311,185,300,1571
9.46,567694,603230,577760,144.44,4.23,3.27,7.63,47.66,26.18,331,169,196,450,56.28,2078,276,173,327,1620
9.63,577760,613507,589438,147.36,4.22,3.26,7.61,47.73,26.2,324,169,198,484,56.69,2142,214,156,313,1704
9.82,589438,623530,600384,150.1,4.27,3.27,7.63,47.89,25.97,313,153,210,478,56.78,2201,167,166,312,1784
9.84,600384,632614,605677,151.42,4.24,3.29,7.64,47.94,26.32,289,142,230,511,56.9,2229,154,151,294,1829
9.89,605677,636029,608445,152.11,4.27,3.29,7.65,48.55,26.33,221,139,222,504,56.83,2272,158,165,319,1876
9.98,608445,637614,613583,153.4,4.27,3.29,7.65,48.86,26.08,176,135,209,514,56.8,2320,151,164,331,1913
10.0,613583,642542,617781,154.45,4.26,3.28,7.64,49.12,26.18,164,129,207,530,57.08,2337,131,172,330,1954
10.04,617781,644994,617581,154.4,4.28,3.28,7.63,49.16,26.31,165,148,233,489,57.13,2312,138,165,350,1983
9.94,617581,642505,616027,154.01,4.27,3.3,7.65,49.27,26.23,165,142,241,464,57.08,2306,128,173,381,1993
