net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
10.12,567085,597247,535069,133.77,3.51,3.24,7.59,46.17,25.47,265,177,235,583,55.7,1955,195,315,275,1443
9.97,535069,572045,533090,133.27,3.42,3.23,7.58,45.7,25.85,245,180,237,717,56.14,1957,163,288,213,1457
9.83,533090,568905,505138,126.28,3.77,3.26,7.61,45.01,26.28,225,173,205,884,56.09,1874,164,247,228,1372
9.53,505138,541240,507635,126.91,3.43,3.26,7.61,44.97,25.95,193,211,185,807,55.17,1888,160,189,367,1298
9.32,507635,546927,529270,132.32,3.18,3.26,7.61,47.23,26.91,168,228,165,674,56.31,1917,161,183,504,1606
9.07,529270,554420,527948,131.99,3.13,3.26,7.61,48.4,26.84,175,224,188,474,56.18,1907,150,190,692,1592
10.25,527948,553914,532640,133.16,3.35,3.26,7.61,48.3,25.64,171,176,324,346,56.02,1921,202,171,689,1620
9.53,532640,557032,524214,131.05,3.28,3.3,7.65,47.53,26.06,168,158,429,449,56.77,1879,221,164,532,1552
8.74,524214,550393,529742,132.44,3.02,3.29,7.64,46.89,26.13,163,183,583,388,57.08,1894,211,171,407,1616
9.55,529742,554580,532432,133.11,3.29,3.25,7.61,46.31,26.25,201,178,578,387,56.45,1896,169,292,299,1625
9.93,532432,556650,530845,132.71,3.38,3.26,7.61,47.35,26.61,227,165,483,332,56.31,1867,167,380,379,1582
9.79,530845,556492,526492,131.62,3.41,3.27,7.62,47.66,26.39,215,165,364,387,56.04,1855,189,492,333,1527
9.79,526492,554458,525128,131.28,3.38,3.26,7.61,47.48,25.93,186,238,273,453,56.17,1882,173,477,318,1514
9.77,525128,554064,510386,127.6,3.49,3.28,7.63,45.78,25.84,169,290,301,602,56.07,1861,152,365,260,1343
9.13,510386,547432,520915,130.23,3.18,3.26,7.61,45.74,26.0,187,378,254,603,56.63,1843,147,297,291,1536
9.72,520915,547616,527127,131.78,3.38,3.26,7.61,46.56,26.83,172,373,255,544,56.55,1857,213,237,349,1594
9.85,527127,551108,520374,130.09,3.42,3.27,7.62,47.36,26.52,182,323,229,408,55.69,1825,271,268,494,1475
8.78,520374,549758,530005,132.5,3.01,3.27,7.62,48.25,26.23,162,282,263,341,56.07,1854,348,238,512,1586
8.86,530005,555371,532296,133.07,3.06,3.28,7.64,48.21,26.33,219,231,308,357,56.66,1852,348,238,447,1548
8.86,532296,559960,538999,134.75,3.0,3.27,7.63,47.05,25.96,273,271,449,257,56.64,1847,314,221,368,1581
9.83,538999,566429,522732,130.68,3.43,3.26,7.61,45.36,25.84,329,215,402,466,56.01,1815,261,234,278,1384
9.29,522732,558015,529919,132.48,3.19,3.27,7.62,45.91,26.28,313,215,362,514,56.52,1849,216,254,277,1502
9.06,529919,560430,539456,134.86,3.08,3.26,7.62,46.68,26.82,285,198,301,514,56.22,1893,242,361,206,1532
9.63,539456,570399,527759,131.94,3.36,3.28,7.63,47.21,26.28,267,211,250,441,55.85,1852,248,362,369,1502
8.86,527759,557792,536440,134.11,3.03,3.26,7.61,47.71,26.25,269,237,258,376,56.26,1881,210,347,422,1544
9.39,536440,566289,536346,134.09,3.17,3.27,7.62,47.31,26.28,271,323,194,426,56.47,1893,185,286,422,1525
9.71,536346,566754,549280,137.32,3.22,3.29,7.64,47.26,26.13,248,346,324,298,56.49,1934,200,240,410,1621
