city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.18,swp,0.0,1161.59,14.98,1.16,12.98,7.39,5.59,0,46.91,93.99
bern,0.18,swp,1.37,1267.24,13.81,1.27,12.19,6.22,5.97,0,44.45,97.67
bern,0.18,swp,0.0,1286.95,14.34,1.29,12.1,6.73,5.37,0,47.13,97.63
bern,0.18,swp,2.74,1288.02,14.96,1.29,12.25,7.36,4.89,0,46.22,96.67
bern,0.18,swp,1.37,1282.58,15.05,1.28,12.6,7.49,5.11,0,44.94,94.54
bern,0.18,swp,2.74,1367.28,14.17,1.37,11.81,6.64,5.17,0,43.55,98.65
bern,0.18,swp,1.37,1437.04,14.17,1.44,11.29,6.61,4.68,0,47.82,101.48
bern,0.18,swp,2.74,1490.6,14.46,1.49,11.26,6.94,4.32,0,42.29,102.8
bern,0.18,swp,4.11,1443.49,15.15,1.44,11.68,7.63,4.05,0,42.97,100.64
bern,0.18,swp,2.74,1360.02,16.13,1.36,12.56,8.59,3.97,0,43.84,97.58
bern,0.18,swp,4.11,1367.99,15.08,1.37,12.21,7.48,4.73,0,43.73,98.3
bern,0.18,swp,2.74,1456.22,14.14,1.46,11.5,6.61,4.89,0,46.46,102.62
bern,0.18,swp,2.74,1606.56,13.18,1.61,9.89,5.54,4.35,0,47.05,109.11
bern,0.18,swp,4.11,1609.77,14.39,1.61,11.18,6.77,4.41,0,44.01,103.22
bern,0.18,swp,5.48,1712.17,13.5,1.71,10.6,5.9,4.7,0,41.22,107.28
bern,0.18,swp,8.22,1651.29,15.16,1.65,11.21,7.52,3.69,0,46.54,105.84
bern,0.18,swp,8.22,1618.64,15.08,1.62,11.18,7.48,3.7,0,45.96,106.01
bern,0.18,swp,2.74,1704.68,14.4,1.7,10.5,6.78,3.72,0,47.08,109.99
bern,0.18,swp,2.74,1378.62,17.35,1.38,12.6,9.75,2.85,0,43.09,99.64
bern,0.18,swp,1.37,1399.89,14.73,1.4,12.29,7.09,5.2,0,39.49,100.88
bern,0.18,swp,2.74,1533.44,13.36,1.53,11.65,5.72,5.93,0,45.79,106.88
