city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.12,swp,0.0,28.33,17.03,0.03,28.57,9.55,19.02,2,33.68,34.29
bern,0.12,swp,0.0,35.26,16.6,0.04,25.11,9.13,15.98,1,33.18,44.66
bern,0.12,swp,0.0,40.4,16.46,0.04,22.67,8.98,13.69,1,34.53,53.12
bern,0.12,swp,0.0,29.77,16.3,0.03,27.98,8.84,19.14,19,34.21,36.22
bern,0.12,swp,0.0,28.2,16.01,0.03,28.2,8.56,19.64,7,34.04,35.52
bern,0.12,swp,0.0,29.21,16.29,0.03,27.67,8.78,18.89,4,36.13,36.95
bern,0.12,swp,0.0,34.77,16.16,0.03,25.0,8.64,16.36,1,33.58,44.88
bern,0.12,swp,0.0,29.62,18.32,0.03,27.58,10.86,16.72,12,35.04,37.28
bern,0.12,swp,0.0,26.94,16.47,0.03,28.84,8.93,19.91,6,35.83,33.58
bern,0.12,swp,0.0,25.88,16.7,0.03,29.33,9.14,20.19,5,35.6,32.04
bern,0.12,swp,0.0,30.32,17.4,0.03,27.08,9.82,17.26,2,35.42,38.8
bern,0.12,swp,0.0,38.15,16.47,0.04,23.14,8.9,14.24,0,32.84,50.72
bern,0.12,swp,0.0,29.8,16.16,0.03,27.37,8.66,18.71,7,40.71,38.0
bern,0.12,swp,0.0,28.65,17.79,0.03,27.92,10.29,17.63,3,39.61,36.61
bern,0.12,swp,0.0,26.96,16.06,0.03,28.71,8.53,20.18,5,39.03,33.97
bern,0.12,swp,0.0,30.37,16.22,0.03,26.97,8.74,18.23,2,43.68,39.16
bern,0.12,swp,0.0,28.91,16.5,0.03,27.77,8.99,18.78,4,42.22,36.74
bern,0.12,swp,0.0,26.33,16.74,0.03,29.06,9.26,19.8,5,41.41,32.83
bern,0.12,swp,0.0,27.72,16.94,0.03,28.35,9.45,18.9,2,38.43,34.97
bern,0.12,swp,0.0,32.47,16.2,0.03,25.97,8.73,17.24,1,39.76,42.22
bern,0.12,swp,0.0,38.04,16.72,0.04,23.19,9.23,13.96,2,41.24,50.76
bern,0.12,swp,0.0,27.33,16.94,0.03,28.6,9.47,19.13,17,46.97,34.48
bern,0.12,swp,0.0,26.99,16.49,0.03,28.72,8.99,19.73,5,44.46,34.03
bern,0.12,swp,0.0,34.71,15.94,0.03,24.74,8.41,16.33,0,46.4,45.89
bern,0.12,swp,0.0,29.31,16.57,0.03,27.55,9.05,18.5,4,49.9,37.4
bern,0.12,swp,0.0,31.67,16.53,0.03,26.4,8.95,17.45,1,48.36,40.97
bern,0.12,swp,0.0,30.36,16.09,0.03,27.07,8.58,18.49,6,45.5,39.02
bern,0.12,swp,0.0,25.67,17.21,0.03,29.38,9.63,19.75,7,44.09,31.96
bern,0.12,swp,0.0,28.54,16.5,0.03,27.9,8.94,18.96,3,43.01,36.37
bern,0.12,swp,0.0,28.23,17.83,0.03,28.06,10.3,17.76,3,42.32,35.87
bern,0.12,swp,0.0,34.18,16.4,0.03,25.06,8.88,16.18,2,39.41,44.92
bern,0.12,swp,0.0,32.63,17.97,0.03,25.93,10.43,15.5,2,36.29,42.61
bern,0.12,swp,0.0,27.32,17.67,0.03,28.59,10.17,18.42,12,43.86,34.49
bern,0.12,swp,0.0,27.54,16.09,0.03,28.42,8.61,19.81,6,41.64,34.87
bern,0.12,swp,0.0,27.39,17.34,0.03,28.48,9.78,18.7,5,46.5,34.57
bern,0.12,swp,0.0,35.24,16.39,0.04,24.51,8.82,15.69,0,44.7,46.57
bern,0.12,swp,0.0,30.86,17.44,0.03,26.8,9.89,16.91,3,46.63,39.94
bern,0.12,swp,0.0,31.21,16.54,0.03,26.6,8.98,17.62,5,45.73,40.51
bern,0.12,swp,0.0,28.29,17.35,0.03,28.17,9.85,18.32,16,47.54,35.9
bern,0.12,swp,0.0,25.85,16.27,0.03,29.28,8.74,20.54,13,48.31,32.22
bern,0.12,swp,0.0,33.6,16.28,0.03,25.34,8.83,16.51,0,43.42,44.08
bern,0.12,swp,0.0,31.73,16.39,0.03,26.33,8.98,17.35,4,42.78,41.03
bern,0.12,swp,0.0,32.5,16.23,0.03,26.0,8.76,17.24,4,44.02,42.06
bern,0.12,swp,0.0,32.24,16.01,0.03,26.19,8.52,17.67,3,38.49,41.87
bern,0.12,swp,0.0,30.87,15.15,0.03,26.87,7.65,19.22,9,45.28,39.43
bern,0.12,swp,0.0,33.27,16.48,0.03,25.75,8.95,16.8,3,44.33,42.98
bern,0.12,swp,0.0,28.25,17.69,0.03,28.24,10.15,18.09,21,37.39,35.46
bern,0.12,swp,0.0,26.76,16.44,0.03,28.84,8.93,19.91,6,34.11,33.62
bern,0.12,swp,0.0,27.9,16.63,0.03,28.24,9.08,19.16,3,34.32,35.34
bern,0.12,swp,0.0,29.58,16.38,0.03,27.4,8.81,18.59,2,30.84,37.84
bern,0.12,swp,0.0,33.43,16.64,0.03,25.5,9.1,16.4,2,39.7,43.72
bern,0.12,swp,0.0,26.12,16.82,0.03,29.16,9.24,19.92,6,40.92,32.64
bern,0.12,swp,0.0,31.58,16.38,0.03,26.36,8.88,17.48,2,37.95,41.08
bern,0.12,swp,0.0,27.12,16.63,0.03,28.66,9.06,19.6,5,40.64,34.01
bern,0.12,swp,0.0,30.08,16.46,0.03,27.19,8.94,18.25,3,41.33,38.45
bern,0.12,swp,0.0,36.34,15.88,0.04,24.12,8.37,15.75,1,41.69,48.05
bern,0.12,swp,0.0,28.87,16.42,0.03,27.8,8.93,18.87,11,40.59,36.79
bern,0.12,swp,0.0,28.0,16.4,0.03,28.24,8.89,19.35,6,41.26,35.3
bern,0.12,swp,0.0,31.96,16.19,0.03,26.29,8.73,17.56,2,39.82,41.22
bern,0.12,swp,0.0,27.72,17.07,0.03,28.43,9.57,18.86,11,43.16,34.82
bern,0.12,swp,0.0,29.81,16.39,0.03,27.37,8.94,18.43,1,41.47,38.03
bern,0.12,swp,0.0,28.16,17.14,0.03,28.2,9.64,18.56,5,38.4,35.47
bern,0.12,swp,0.0,35.99,16.34,0.04,24.27,8.86,15.41,0,39.61,47.47
bern,0.12,swp,0.0,31.31,16.17,0.03,26.62,8.65,17.97,8,39.87,40.4
bern,0.12,swp,0.0,34.46,16.68,0.03,25.12,9.11,16.01,2,35.16,44.82
bern,0.12,swp,0.0,30.71,16.0,0.03,27.15,8.44,18.71,6,31.08,38.66
bern,0.12,swp,0.0,27.84,16.09,0.03,28.45,8.6,19.85,12,33.61,34.63
bern,0.12,swp,0.0,28.74,16.26,0.03,27.86,8.7,19.16,4,34.75,36.38
bern,0.12,swp,0.0,34.17,16.24,0.03,25.19,8.62,16.57,1,35.71,44.29
bern,0.12,swp,0.0,34.39,15.11,0.03,25.14,7.6,17.54,2,39.26,44.57
bern,0.12,swp,0.0,34.92,16.38,0.03,25.07,8.83,16.24,6,38.44,45.01
bern,0.12,swp,0.0,26.64,16.87,0.03,28.92,9.36,19.56,13,42.39,33.43
bern,0.12,swp,0.0,26.43,16.28,0.03,29.0,8.71,20.29,4,39.02,33.06
bern,0.12,swp,0.0,32.58,15.99,0.03,25.9,8.47,17.43,2,35.92,42.38
bern,0.12,swp,0.0,28.39,17.09,0.03,28.01,9.57,18.44,5,39.24,36.07
bern,0.12,swp,0.0,33.49,15.99,0.03,25.48,8.45,17.03,3,40.13,43.72
bern,0.12,swp,0.0,29.85,16.24,0.03,27.35,8.68,18.67,4,35.69,38.15
bern,0.12,swp,0.0,25.86,16.52,0.03,29.31,9.06,20.25,7,35.53,32.14
bern,0.12,swp,0.0,32.49,16.4,0.03,25.93,8.84,17.09,1,36.14,42.29
bern,0.12,swp,0.0,34.53,16.16,0.03,24.9,8.69,16.21,2,29.81,45.38
bern,0.12,swp,0.0,30.63,16.63,0.03,26.93,9.16,17.77,3,33.75,39.3
bern,0.12,swp,0.0,29.83,16.74,0.03,27.37,9.27,18.1,3,34.83,38.17
bern,0.12,swp,0.0,33.49,16.4,0.03,25.53,8.92,16.61,1,28.62,43.92
bern,0.12,swp,0.0,31.43,16.29,0.03,26.58,8.8,17.78,7,29.75,40.62
bern,0.12,swp,0.0,27.51,16.47,0.03,28.47,8.92,19.55,8,27.59,34.67
bern,0.12,swp,0.0,28.59,16.43,0.03,27.93,8.89,19.04,3,29.36,36.29
bern,0.12,swp,0.0,31.71,16.43,0.03,26.36,8.88,17.48,1,30.05,41.05
bern,0.12,swp,0.0,31.49,16.51,0.03,26.54,8.91,17.63,4,37.05,40.45
bern,0.12,swp,0.0,36.26,16.22,0.04,24.24,8.72,15.52,4,28.99,47.59
bern,0.12,swp,0.0,27.07,16.55,0.03,28.81,9.04,19.77,17,35.6,33.74
bern,0.12,swp,0.0,29.85,16.03,0.03,27.38,8.53,18.85,4,36.43,37.96
bern,0.12,swp,0.0,26.56,16.75,0.03,28.97,9.23,19.74,6,36.57,33.18
bern,0.12,swp,0.0,27.13,16.74,0.03,28.67,9.23,19.44,4,35.59,34.02
bern,0.12,swp,0.0,33.86,16.59,0.03,25.3,9.06,16.24,1,35.34,44.21
bern,0.12,swp,0.0,27.76,17.01,0.03,28.35,9.48,18.87,4,31.93,35.06
bern,0.12,swp,0.0,27.35,17.4,0.03,28.55,9.79,18.76,10,33.35,34.51
bern,0.12,swp,0.0,28.42,16.01,0.03,27.96,8.47,19.49,4,29.34,36.2
bern,0.12,swp,0.0,31.12,16.41,0.03,26.59,8.88,17.71,1,31.96,40.38
bern,0.12,swp,0.0,31.94,16.31,0.03,26.2,8.73,17.47,2,32.51,41.51
bern,0.12,swp,0.0,35.37,16.11,0.04,24.54,8.55,15.99,1,30.28,46.55
bern,0.12,swp,0.0,35.19,16.4,0.04,24.74,8.89,15.85,6,30.15,46.15
bern,0.12,swp,0.0,27.52,16.19,0.03,28.52,8.61,19.91,10,24.55,34.6
bern,0.12,swp,0.0,29.72,15.97,0.03,27.34,8.41,18.93,3,26.99,38.12
bern,0.12,swp,0.0,27.57,16.43,0.03,28.41,8.85,19.56,4,29.4,34.87
bern,0.12,swp,0.0,27.1,17.33,0.03,28.66,9.78,18.88,7,36.78,34.0
bern,0.12,swp,0.0,34.93,16.45,0.03,24.73,8.92,15.81,0,31.58,46.0
bern,0.12,swp,0.0,29.48,16.31,0.03,27.5,8.78,18.72,7,32.28,37.54
bern,0.12,swp,0.0,28.2,16.92,0.03,28.13,9.36,18.77,4,31.09,35.75
bern,0.12,swp,0.0,26.39,16.25,0.03,29.0,8.74,20.26,6,34.29,33.07
bern,0.12,swp,0.0,30.4,16.05,0.03,26.94,8.52,18.42,2,33.2,39.24
bern,0.12,swp,0.0,33.05,16.42,0.03,25.63,8.88,16.75,3,32.14,43.22
bern,0.12,swp,0.0,31.18,17.11,0.03,26.61,9.59,17.02,4,32.93,40.36
bern,0.12,swp,0.0,30.51,16.37,0.03,26.95,8.86,18.09,2,28.2,39.37
bern,0.12,swp,0.0,34.98,15.67,0.03,24.75,8.13,16.62,1,31.85,46.28
bern,0.12,swp,0.0,30.57,16.59,0.03,26.96,9.04,17.92,8,30.94,39.31
bern,0.12,swp,0.0,32.36,16.5,0.03,26.16,8.94,17.22,4,32.6,41.64
bern,0.12,swp,0.0,28.78,16.52,0.03,28.06,9.0,19.06,14,33.24,36.0
bern,0.12,swp,0.0,27.14,17.23,0.03,28.65,9.72,18.93,14,34.72,34.22
bern,0.12,swp,0.0,32.0,15.99,0.03,26.15,8.44,17.71,3,30.47,41.77
bern,0.12,swp,0.0,26.75,16.82,0.03,28.84,9.31,19.53,4,28.58,33.59
bern,0.12,swp,0.0,34.51,16.44,0.03,24.89,8.89,16.0,0,28.48,45.59
bern,0.12,swp,0.0,32.25,16.39,0.03,26.12,8.82,17.3,4,25.72,41.87
bern,0.12,swp,0.0,30.06,15.98,0.03,27.23,8.46,18.77,8,26.36,38.35
bern,0.12,swp,0.0,28.76,16.33,0.03,27.89,8.8,19.09,5,27.87,36.4
bern,0.12,swp,0.0,29.43,15.21,0.03,27.57,7.73,19.84,6,32.54,37.28
bern,0.12,swp,0.0,26.37,16.82,0.03,29.03,9.32,19.71,5,32.13,32.96
bern,0.12,swp,0.0,27.89,15.99,0.03,28.27,8.49,19.78,4,36.26,35.24
bern,0.12,swp,0.0,30.46,16.46,0.03,26.98,9.0,17.98,2,33.0,39.16
bern,0.12,swp,0.0,33.76,14.79,0.03,25.37,7.35,18.02,3,31.24,44.08
bern,0.12,swp,0.0,29.71,16.44,0.03,27.45,8.98,18.47,5,29.32,37.88
bern,0.12,swp,0.0,29.46,16.5,0.03,27.57,9.04,18.53,4,34.93,37.52
bern,0.12,swp,0.0,29.91,16.53,0.03,27.34,9.03,18.31,3,34.0,38.23
bern,0.12,swp,0.0,29.39,14.89,0.03,27.52,7.4,20.12,5,28.65,37.58
bern,0.12,swp,0.0,31.91,14.7,0.03,26.34,7.21,19.13,5,33.25,41.08
bern,0.12,swp,0.0,28.6,16.42,0.03,27.94,8.95,18.99,10,32.75,36.25
bern,0.12,swp,0.0,30.59,16.45,0.03,26.94,9.01,17.93,5,31.44,39.24
bern,0.12,swp,0.0,32.1,16.53,0.03,26.23,9.02,17.21,4,33.86,41.63
bern,0.12,swp,0.0,28.41,16.03,0.03,28.02,8.55,19.47,6,31.52,36.02
bern,0.12,swp,0.0,31.01,16.32,0.03,26.75,8.87,17.88,5,27.08,39.82
bern,0.12,swp,0.0,26.88,17.43,0.03,28.86,9.95,18.91,7,27.15,33.48
bern,0.12,swp,0.0,27.03,16.48,0.03,28.74,8.94,19.8,4,27.58,33.82
bern,0.12,swp,0.0,31.27,15.8,0.03,26.61,8.33,18.28,1,29.47,40.3
bern,0.12,swp,0.0,32.2,16.41,0.03,26.22,8.89,17.33,4,32.71,41.28
bern,0.12,swp,0.0,28.48,16.68,0.03,28.03,9.17,18.86,4,31.16,35.92
bern,0.12,swp,0.0,33.54,16.39,0.03,25.48,8.83,16.65,1,30.02,43.74
bern,0.12,swp,0.0,29.01,16.75,0.03,27.81,9.16,18.65,15,30.76,36.71
bern,0.12,swp,0.0,27.98,16.41,0.03,28.27,8.87,19.4,10,31.6,35.26
bern,0.12,swp,0.0,29.51,16.5,0.03,27.52,8.94,18.58,2,39.94,37.63
bern,0.12,swp,0.0,34.28,16.46,0.03,25.13,8.93,16.2,1,41.21,44.98
bern,0.12,swp,0.0,27.12,16.35,0.03,28.69,8.85,19.84,7,41.84,33.89
bern,0.12,swp,0.0,34.98,15.9,0.03,24.84,8.36,16.48,0,44.14,45.67
bern,0.12,swp,0.0,29.65,17.6,0.03,27.5,10.05,17.45,17,38.46,37.7
bern,0.12,swp,0.0,32.1,13.92,0.03,26.2,6.39,19.81,2,44.24,41.39
bern,0.12,swp,0.0,31.62,16.69,0.03,26.55,9.23,17.32,3,43.86,40.63
bern,0.12,swp,0.0,27.78,16.41,0.03,28.32,8.89,19.43,10,45.09,35.17
bern,0.12,swp,0.0,34.28,16.5,0.03,25.07,8.94,16.13,1,40.89,44.98
