city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.17,flatwise,8.1,1689.94,11.64,1.69,11.12,4.31,6.81,0,6.26,113.18
bern,0.17,flatwise,4.05,1855.73,12.08,1.86,10.71,4.78,5.93,1,8.03,118.46
bern,0.17,flatwise,8.1,1950.5,12.09,1.95,10.43,4.81,5.62,4,8.25,121.17
bern,0.17,flatwise,5.4,2106.14,11.98,2.11,10.17,4.74,5.43,0,7.0,125.83
bern,0.17,flatwise,6.75,2109.44,11.97,2.11,10.36,4.71,5.65,8,7.74,126.3
bern,0.17,flatwise,6.75,2279.33,11.79,2.28,9.52,4.52,5.0,0,7.17,133.6
bern,0.17,flatwise,8.1,2427.38,11.73,2.43,9.11,4.49,4.62,1,6.4,139.2
bern,0.17,flatwise,9.45,2575.62,11.66,2.58,8.65,4.44,4.21,1,6.32,144.48
bern,0.17,flatwise,6.75,2721.72,11.58,2.72,8.43,4.33,4.1,1,7.52,148.98
bern,0.17,flatwise,13.5,2828.34,11.73,2.83,8.23,4.45,3.78,0,8.49,152.19
bern,0.17,flatwise,9.45,2973.25,11.57,2.97,7.84,4.31,3.53,0,6.73,156.46
bern,0.17,flatwise,13.5,2651.56,11.93,2.65,9.07,4.67,4.4,9,11.51,144.93
bern,0.17,flatwise,13.5,2537.78,11.86,2.54,9.22,4.54,4.68,3,9.08,141.96
bern,0.17,flatwise,14.85,2442.5,11.88,2.44,9.58,4.58,5.0,8,8.16,138.61
bern,0.17,flatwise,14.85,2408.77,12.0,2.41,9.64,4.67,4.97,2,8.25,138.04
bern,0.17,flatwise,17.55,2236.94,11.85,2.24,10.98,4.58,6.4,15,8.55,131.24
bern,0.17,flatwise,10.8,2363.47,11.84,2.36,9.99,4.56,5.43,0,8.22,137.57
bern,0.17,flatwise,8.1,2459.29,11.72,2.46,9.69,4.44,5.25,0,7.68,140.33
bern,0.17,flatwise,17.55,2230.9,11.73,2.23,10.58,4.46,6.12,13,8.39,132.15
bern,0.17,flatwise,13.5,2227.69,11.82,2.23,10.59,4.53,6.06,2,8.37,132.35
bern,0.17,flatwise,8.1,2328.44,11.53,2.33,9.59,4.27,5.32,0,7.17,137.6
bern,0.17,flatwise,13.5,2358.43,11.5,2.36,9.68,4.26,5.42,2,6.06,136.68
bern,0.17,flatwise,12.15,2235.13,11.78,2.24,10.34,4.53,5.81,8,6.53,132.67
bern,0.17,flatwise,10.8,2335.58,11.51,2.34,9.57,4.28,5.29,0,6.51,137.58
bern,0.17,flatwise,12.15,2447.92,11.87,2.45,9.32,4.64,4.68,0,7.98,139.88
bern,0.17,flatwise,6.75,2553.32,11.65,2.55,9.0,4.38,4.62,1,6.74,143.32
bern,0.17,flatwise,14.85,2432.25,11.81,2.43,9.41,4.62,4.79,4,7.97,139.94
bern,0.17,flatwise,5.4,2533.43,11.58,2.53,9.09,4.32,4.77,1,6.45,143.26
